Date,Weekday,Volume,label_set_1,label_set_2
1/02/2019 0:00,Friday,5,0,0
1/02/2019 0:15,Friday,5,0,0
1/02/2019 0:30,Friday,5,1,1
1/02/2019 0:45,Friday,5,1,1
1/02/2019 1:00,Friday,5,1,1
1/02/2019 1:15,Friday,5,1,1
1/02/2019 1:30,Friday,5,1,1
1/02/2019 1:45,Friday,5,1,1
1/02/2019 2:00,Friday,5,1,1
1/02/2019 2:15,Friday,5,1,1
1/02/2019 2:30,Friday,5,1,1
1/02/2019 2:45,Friday,5,1,1
1/02/2019 3:00,Friday,5,1,1
1/02/2019 3:15,Friday,5,1,1
1/02/2019 3:30,Friday,5,1,1
1/02/2019 3:45,Friday,5,1,1
1/02/2019 4:00,Friday,5,1,1
1/02/2019 4:15,Friday,5,1,1
1/02/2019 4:30,Friday,5,1,1
1/02/2019 4:45,Friday,5,1,1
1/02/2019 5:00,Friday,5,1,1
1/02/2019 5:15,Friday,5,1,1
1/02/2019 5:30,Friday,5,1,1
1/02/2019 5:45,Friday,5,1,1
1/02/2019 6:00,Friday,5,1,1
1/02/2019 6:15,Friday,5,1,1
1/02/2019 6:30,Friday,5,1,1
1/02/2019 6:45,Friday,5,1,1
1/02/2019 7:00,Friday,5,1,1
1/02/2019 7:15,Friday,5,1,1
1/02/2019 7:30,Friday,5,1,1
1/02/2019 7:45,Friday,5,1,1
1/02/2019 8:00,Friday,5,1,1
1/02/2019 8:15,Friday,5,1,1
1/02/2019 8:30,Friday,5,1,1
1/02/2019 8:45,Friday,5,1,1
1/02/2019 9:00,Friday,5,1,1
1/02/2019 9:15,Friday,5,1,1
1/02/2019 9:30,Friday,5,1,1
1/02/2019 9:45,Friday,5,1,1
1/02/2019 10:00,Friday,5,1,1
1/02/2019 10:15,Friday,5,1,1
1/02/2019 10:30,Friday,5,1,1
1/02/2019 10:45,Friday,5,1,1
1/02/2019 11:00,Friday,5,1,1
1/02/2019 11:15,Friday,5,1,1
1/02/2019 11:30,Friday,5,1,1
1/02/2019 11:45,Friday,5,1,1
1/02/2019 12:00,Friday,5,1,1
1/02/2019 12:15,Friday,5,1,1
1/02/2019 12:30,Friday,5,1,1
1/02/2019 12:45,Friday,5,1,1
1/02/2019 13:00,Friday,5,1,1
1/02/2019 13:15,Friday,5,1,1
1/02/2019 13:30,Friday,5,1,1
1/02/2019 13:45,Friday,5,1,1
1/02/2019 14:00,Friday,5,1,1
1/02/2019 14:15,Friday,5,1,1
1/02/2019 14:30,Friday,5,1,1
1/02/2019 14:45,Friday,5,1,1
1/02/2019 15:00,Friday,5,1,1
1/02/2019 15:15,Friday,5,1,1
1/02/2019 15:30,Friday,5,1,1
1/02/2019 15:45,Friday,587,1,0
1/02/2019 16:00,Friday,720,0,0
1/02/2019 16:15,Friday,734,0,0
1/02/2019 16:30,Friday,681,0,0
1/02/2019 16:45,Friday,745,0,0
1/02/2019 17:00,Friday,687,0,0
1/02/2019 17:15,Friday,713,0,0
1/02/2019 17:30,Friday,674,0,0
1/02/2019 17:45,Friday,667,0,0
1/02/2019 18:00,Friday,684,0,0
1/02/2019 18:15,Friday,678,0,0
1/02/2019 18:30,Friday,728,1,1
1/02/2019 18:45,Friday,608,0,0
1/02/2019 19:00,Friday,458,0,0
1/02/2019 19:15,Friday,365,1,0
1/02/2019 19:30,Friday,399,0,0
1/02/2019 19:45,Friday,376,0,0
1/02/2019 20:00,Friday,316,0,0
1/02/2019 20:15,Friday,358,0,0
1/02/2019 20:30,Friday,317,0,0
1/02/2019 20:45,Friday,295,0,0
1/02/2019 21:00,Friday,275,0,0
1/02/2019 21:15,Friday,322,0,0
1/02/2019 21:30,Friday,302,0,0
1/02/2019 21:45,Friday,290,0,0
1/02/2019 22:00,Friday,289,0,0
1/02/2019 22:15,Friday,353,0,0
1/02/2019 22:30,Friday,352,0,0
1/02/2019 22:45,Friday,285,0,0
1/02/2019 23:00,Friday,294,0,0
1/02/2019 23:15,Friday,366,0,0
1/02/2019 23:30,Friday,312,0,0
1/02/2019 23:45,Friday,253,0,0
2/02/2019 0:00,Saturday,207,0,0
2/02/2019 0:15,Saturday,189,0,0
2/02/2019 0:30,Saturday,188,0,0
2/02/2019 0:45,Saturday,145,0,0
2/02/2019 1:00,Saturday,152,0,0
2/02/2019 1:15,Saturday,118,0,0
2/02/2019 1:30,Saturday,111,0,0
2/02/2019 1:45,Saturday,112,0,0
2/02/2019 2:00,Saturday,103,0,0
2/02/2019 2:15,Saturday,100,0,0
2/02/2019 2:30,Saturday,82,0,0
