loc,hyp,auc_1,pre_1,rec_1,f_1,thr_1,auc_2,pre_2,rec_2,f_2,thr_2,auc_3,pre_3,rec_3,f_3,thr_3,auc_4,pre_4,rec_4,f_4,thr_4
0185-E,"(3,)",0.9414203474817158,0.5588235294117647,0.4523809523809524,0.5,0.40963855421686746,0.951672590098516,0.6790123456790124,0.5092592592592593,0.582010582010582,0.38554216867469876,0.9402904079675141,0.5588235294117647,0.4935064935064935,0.5241379310344827,0.40963855421686746,0.9521020966004442,0.6790123456790124,0.4782608695652174,0.5612244897959183,0.38554216867469876
0185-E,"(5,)",0.9462169844463608,0.5555555555555556,0.4166666666666667,0.4761904761904762,0.5180722891566265,0.9547933034044145,0.5894736842105263,0.5185185185185185,0.5517241379310344,0.4698795180722891,0.9452374789839202,0.5555555555555556,0.45454545454545453,0.5,0.5180722891566265,0.955224646230736,0.6,0.4956521739130435,0.5428571428571429,0.4698795180722891
0185-E,"(7,)",0.9513319999361247,0.6595744680851063,0.36904761904761907,0.4732824427480916,0.6506024096385543,0.9590683065220102,0.4453125,0.5277777777777778,0.48305084745762716,0.5180722891566263,0.9499474733941322,0.6595744680851063,0.4025974025974026,0.5,0.6506024096385543,0.959826028330854,0.453125,0.5043478260869565,0.4773662551440329,0.5180722891566263
0185-E,"(8,)",0.9519707530899685,0.5614035087719298,0.38095238095238093,0.45390070921985815,0.674698795180723,0.9586599014839755,0.48,0.4444444444444444,0.4615384615384615,0.5903614457831327,0.9512981575450173,0.5614035087719298,0.4155844155844156,0.47761194029850745,0.674698795180723,0.9590008720568082,0.48,0.41739130434782606,0.4465116279069767,0.5903614457831327
0185-E,"(9,)",0.9499107741688224,0.4647887323943662,0.39285714285714285,0.42580645161290326,0.6867469879518072,0.9561556927297667,0.4322033898305085,0.4722222222222222,0.45132743362831856,0.6144578313253012,0.9488164657315554,0.5833333333333334,0.36363636363636365,0.448,0.7349397590361447,0.9568060736191824,0.366120218579235,0.5826086956521739,0.44966442953020136,0.5542168674698795
0185-E,"(10,)",0.9532023490147232,0.5471698113207547,0.34523809523809523,0.4233576642335766,0.7831325301204819,0.9581151016336202,0.4777777777777778,0.39814814814814814,0.43434343434343436,0.6867469879518072,0.9524574403991587,0.5471698113207547,0.37662337662337664,0.4461538461538462,0.7831325301204819,0.9586117441868987,0.34299516908212563,0.6173913043478261,0.44099378881987583,0.5662650602409639
0185-W,"(3,)",0.954518480840963,0.717391304347826,0.66,0.6875,0.41509433962264164,0.9380797375627032,0.7571428571428571,0.6162790697674418,0.6794871794871794,0.6037735849056602,0.9373726213611387,0.7571428571428571,0.6235294117647059,0.6838709677419355,0.6037735849056602,0.9548788417502668,0.7246376811594203,0.6622516556291391,0.6920415224913496,0.41509433962264164
0185-W,"(5,)",0.9501616367130101,0.6257668711656442,0.68,0.6517571884984026,0.509433962264151,0.9313023177800489,0.6354166666666666,0.7093023255813954,0.6703296703296703,0.6415094339622645,0.9305146442276391,0.651685393258427,0.6823529411764706,0.6666666666666667,0.6981132075471698,0.9505512399951934,0.6319018404907976,0.6821192052980133,0.6560509554140127,0.509433962264151
0185-W,"(7,)",0.9523572962586188,0.6,0.68,0.6375000000000001,0.6226415094339622,0.9356018348766997,0.62,0.7209302325581395,0.6666666666666666,0.7924528301886791,0.9348817709206775,0.6224489795918368,0.7176470588235294,0.6666666666666667,0.7924528301886793,0.9527226213351272,0.6058823529411764,0.6821192052980133,0.6417445482866043,0.6226415094339622
0185-W,"(8,)",0.9510879394144909,0.5326633165829145,0.7066666666666667,0.6074498567335244,0.6415094339622641,0.9332780087843161,0.5754716981132075,0.7093023255813954,0.6354166666666667,0.830188679245283,0.9324984463012104,0.5660377358490566,0.7058823529411765,0.6282722513089005,0.830188679245283,0.9514799870177562,0.5376884422110553,0.7086092715231788,0.6114285714285714,0.6415094339622641
0185-W,"(9,)",0.9487634226291398,0.47577092511013214,0.72,0.5729442970822282,0.6792452830188679,0.9310965572657842,0.5128205128205128,0.6976744186046512,0.5911330049261083,0.8490566037735848,0.9303104438152924,0.5042735042735043,0.6941176470588235,0.5841584158415841,0.8490566037735848,0.9491598040085485,0.4801762114537445,0.7218543046357616,0.5767195767195766,0.6792452830188679
0185-W,"(10,)",0.9479987566406692,0.5454545454545454,0.56,0.5526315789473685,0.830188679245283,0.9322082491438023,0.48360655737704916,0.686046511627907,0.5673076923076923,0.9056603773584905,0.9314004991565635,0.47540983606557374,0.6823529411764706,0.5603864734299516,0.9056603773584905,0.9484197262723104,0.551948051948052,0.5629139072847682,0.5573770491803278,0.830188679245283
0948-E,"(3,)",0.9735553856595648,0.8333333333333334,0.6976744186046512,0.759493670886076,0.3142857142857143,0.9745663468151415,0.7647058823529411,0.6701030927835051,0.7142857142857143,0.2742857142857143,0.9756849028150134,0.8307692307692308,0.675,0.7448275862068966,0.33714285714285713,0.9730057893146725,0.8117647058823529,0.6699029126213593,0.7340425531914895,0.2742857142857143
0948-E,"(5,)",0.9776920496477691,0.8529411764705882,0.6744186046511628,0.7532467532467532,0.4057142857142857,0.9749214807526068,0.7065217391304348,0.6701030927835051,0.6878306878306877,0.3542857142857141,0.9781679373324397,0.8088235294117647,0.6875,0.7432432432432432,0.4057142857142857,0.9748683318771586,0.75,0.6699029126213593,0.7076923076923076,0.3542857142857141
0948-E,"(7,)",0.9776023341628766,0.8769230769230769,0.6627906976744186,0.7549668874172185,0.4685714285714285,0.9739989986955323,0.8615384615384616,0.5773195876288659,0.691358024691358,0.4685714285714285,0.9773458445040214,0.896551724137931,0.65,0.7536231884057972,0.5028571428571429,0.9745645765798134,0.9076923076923077,0.5728155339805825,0.7023809523809523,0.4685714285714285
0948-E,"(8,)",0.979255244455193,0.8169014084507042,0.6744186046511628,0.7388535031847132,0.48000000000000004,0.9754100064617053,0.7866666666666666,0.6082474226804123,0.6860465116279069,0.47428571428571425,0.979524128686327,0.7746478873239436,0.6875,0.728476821192053,0.48000000000000004,0.9755803604236244,0.8266666666666667,0.6019417475728155,0.6966292134831461,0.47428571428571425
0948-E,"(9,)",0.9793839666726477,0.8,0.6511627906976745,0.7179487179487181,0.5257142857142857,0.9758387657276695,0.8307692307692308,0.5567010309278351,0.6666666666666667,0.5314285714285715,0.9801095425603217,0.8,0.65,0.7172413793103448,0.5314285714285715,0.9756358855855047,0.8285714285714286,0.5631067961165048,0.6705202312138728,0.5257142857142857
0948-E,"(10,)",0.9796823681767473,0.835820895522388,0.6511627906976745,0.7320261437908497,0.5599999999999999,0.9762207512555283,0.7887323943661971,0.5773195876288659,0.6666666666666666,0.5428571428571428,0.9806185070375334,0.8771929824561403,0.625,0.72992700729927,0.5942857142857143,0.9758490042215455,0.8309859154929577,0.5728155339805825,0.6781609195402298,0.5428571428571428
0948-W,"(3,)",0.9848967142044741,0.7012987012987013,0.6708074534161491,0.6857142857142858,0.26086956521739124,0.9875360784281662,0.8051948051948052,0.7560975609756098,0.7798742138364779,0.40000000000000013,0.987546733370989,0.8051948051948052,0.7654320987654321,0.7848101265822786,0.40000000000000013,0.9849889673340799,0.6745562130177515,0.7037037037037037,0.6888217522658611,0.25217391304347825
0948-W,"(5,)",0.9820649140595079,0.7286821705426356,0.5838509316770186,0.6482758620689655,0.38260869565217404,0.987195735182293,0.673469387755102,0.8048780487804879,0.7333333333333334,0.4521739130434781,0.9870687960738795,0.6632653061224489,0.8024691358024691,0.7262569832402235,0.4521739130434781,0.9822418125453576,0.7364341085271318,0.5864197530864198,0.6529209621993127,0.38260869565217404
