hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(5, 3)",0.7310839714490396,0.23342924220782693,0.40610714785610386,0.29645626191734264,0.10564064839469893,0.7349508299155477,0.24477128101998105,0.3741585271230123,0.29594070533856165,0.10875882627707731,0.744731625448744,0.24459218220550286,0.36225769273577424,0.2920175260662206,0.1182216703972809,0.7235712231236895,0.24000714862962558,0.4171339228357985,0.30469902967182866,0.0968112316641373
"(5, 4)",0.764192288817551,0.2992769409451464,0.40134292433980734,0.34287546961730825,0.0970445839446496,0.7678952323601741,0.2993359222967139,0.37354729443325957,0.33234927286199045,0.10641514775848551,0.7782025662495831,0.30027569998166287,0.3540653241477224,0.3249596437550253,0.11400161813655385,0.756553733213943,0.30182422614559756,0.42165203962580944,0.3518147217367984,0.09106765426467832
"(5, 5)",0.7746919210457546,0.3260191252441349,0.4179330284370399,0.366298181052295,0.09331423509030945,0.7780160881458562,0.3340777727700649,0.3792585032489748,0.35523732727184093,0.10174084737304619,0.7893335947763311,0.33862301370804926,0.3585110910174611,0.34828336546780625,0.11058028428148223,0.7664369220240926,0.3274506658303489,0.44293475873443305,0.376536930845837,0.08680347452329415
"(5, 7)",0.7832676357901486,0.3564269292078673,0.46545475029362493,0.40370922352959,0.08965161861220015,0.7866873099487374,0.3585177377554927,0.42966568147104334,0.39088050916710876,0.09168913236645362,0.7997679493909197,0.36169010432326937,0.40529678042792233,0.38225382391620527,0.10147246245454822,0.7739384222265462,0.360248703900194,0.49029945557807814,0.4153315516038937,0.08283273386718965
"(5, 10)",0.782839038749032,0.3863287327273386,0.509651639985485,0.4395030922649679,0.095604152796507,0.7868420754299225,0.3793267873719986,0.47650085713713325,0.4223970573455898,0.09339832774307717,0.8009871064914714,0.37938334675897833,0.44816766283350784,0.4109169002612969,0.0995115288165478,0.7730488861313952,0.39303684830874636,0.5392606976376056,0.4546817181656654,0.09006378678191732
"(7, 3)",0.74669328634971,0.25479480575893937,0.3912202586970955,0.3086023695364532,0.1039696788446884,0.7506241180540881,0.26542954120028395,0.36481666086456704,0.30728664004083184,0.10938974535330352,0.7601615200932407,0.27336501248627665,0.3427969975235391,0.3041690464064397,0.11801583196129131,0.7394638572796901,0.25370597293282454,0.4122710816832784,0.31411183062700987,0.09616709812584541
"(7, 4)",0.7699647624968036,0.3187061563791916,0.39409027093792276,0.35241196701784855,0.09820782052118136,0.773780425673065,0.3148070379550104,0.37565568556130136,0.34255014683560464,0.10995873677287124,0.7839920360136365,0.3248135301961064,0.34240347562748047,0.3333766396817063,0.11777589679022382,0.7624418237234679,0.3174583455215599,0.4212796326965471,0.36207353389456015,0.09246499130170308
"(7, 5)",0.7785772317217008,0.34259048393005104,0.41616411184182855,0.3758102165435237,0.09380079520987401,0.7813912228442487,0.35151541067173087,0.3771453972414518,0.36387964812861884,0.10170437115019193,0.7927195350729382,0.3570691681706808,0.35548917535526736,0.3562774200626962,0.11117502727789569,0.7703375522215479,0.33801964495636294,0.44550014307813146,0.3843879950218928,0.0868387163613043
"(7, 7)",0.7873309982871686,0.3658038787043219,0.47568133599395895,0.4135689485554058,0.09072477010669652,0.7906932723484039,0.36766368575449204,0.43422996593119373,0.3981839472196935,0.0938377568178497,0.803848585707098,0.37163205940433414,0.41396066923790836,0.391656008036549,0.1036473072628951,0.777992252544707,0.36618312618197824,0.49884484005832985,0.42234140430452194,0.08396232858785369
"(7, 10)",0.7864383929543203,0.39903009396219186,0.5133270644881976,0.44901921331765304,0.09238875592337306,0.7901969324826863,0.3966474080287521,0.4744359598388587,0.4320683890599023,0.08851105683957398,0.8043684634078293,0.3984390828822474,0.44440818161506246,0.42017004922874224,0.09488496691369672,0.7766303356159336,0.39832179911732823,0.5446063929068627,0.4601168998198641,0.08712309415294148
