hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"([3, [2, 1, 2]], 3)",0.4832275275982446,0.15518628498823483,0.6546086810453766,0.15497181276165478,0.10782162091170282,0.49271601251411745,0.1665340000546583,0.5652161309083176,0.14544285395280435,0.11757290611494949,0.4983833256244911,0.17311591128551815,0.5145506907900462,0.1354128047970262,0.12218609972475775,0.4778496621217528,0.1556673390088145,0.6717643176703264,0.16618844699288196,0.10511502292730754
"([3, [2, 1, 2]], 4)",0.48341630267749125,0.16125507832887848,0.6520558644820964,0.15641025394605382,0.11047089039993388,0.4930749783193051,0.17403017262667905,0.5552088602814188,0.1466426178626868,0.11905591966662372,0.49884424161812935,0.17887831207232222,0.5019875482909155,0.13708475118037994,0.12502916361384286,0.47795304040620784,0.16146475221352372,0.6694480006386438,0.1671019475242912,0.10622040495120517
"([3, [2, 1, 2]], 5)",0.4828373906743813,0.152066925543166,0.6701544362773556,0.15417602888818974,0.1078109384556631,0.49247683243402846,0.16190331538852828,0.5844615320342386,0.14472382132392,0.11758657509211057,0.49807735491175864,0.16978858909541109,0.5271649276204139,0.13443992747904315,0.1223914878481068,0.4774985161526775,0.1519060219344642,0.6883700012316918,0.16563654594713362,0.10478709595474658
"([3, [2, 1, 2]], 7)",0.48415396607574157,0.15533892178580994,0.6483085682160213,0.1550657215831613,0.1077582902977135,0.4942002127248947,0.16569390215111718,0.5518905369664631,0.14561070419469674,0.11731440463083995,0.4998907765176327,0.1723486064660797,0.5074802269277865,0.13551840657720532,0.12186914670714083,0.4787485189578673,0.15606765754107227,0.6636318699334738,0.16638494476998753,0.10503618053683444
"([3, [2, 1, 2]], 10)",0.48424220007967705,0.15424228605303064,0.6540782030227539,0.1553600938190669,0.1080793585536967,0.4941114014437519,0.17324302454399723,0.5597631623704964,0.1466609992952862,0.11749297177609513,0.4998853314297825,0.18016815353400203,0.5120846093154693,0.13678533433273088,0.12266330257165113,0.4787667798210669,0.1548443942656726,0.6692197176478228,0.1664976572908845,0.10481857094248194
"([3, [2, 2, 2]], 3)",0.483511210001043,0.15749438064309956,0.6517369940791355,0.1548663566967774,0.10835829213770745,0.4937641989531194,0.1707210746839447,0.5475817058235501,0.14587734552975176,0.11799150875362718,0.4994270464254141,0.17476556173370242,0.5016840700649751,0.13579600175082,0.122643595534357,0.4781689894570584,0.16025645098179447,0.6660281337733124,0.16613863785697988,0.10566685079613396
"([3, [2, 2, 2]], 4)",0.4832973948472833,0.15623445065409403,0.6672455967877381,0.15559329982989442,0.10868851114613723,0.4933949006779714,0.17248248239035718,0.5690787739672682,0.14643759316600122,0.11829311481277359,0.498968919885866,0.17718049410741257,0.5235071940509797,0.13642504704473274,0.12325560958127894,0.4780035729930197,0.15731339447073547,0.680495671941773,0.16664345010417975,0.1056714715595147
"([3, [2, 2, 2]], 5)",0.4828929267972735,0.1521454427411373,0.6545628920556452,0.15531024118922046,0.10809758452980907,0.49237708961695914,0.16340619440878923,0.5815770584942902,0.14533854327860668,0.1180623632180955,0.4982399510511742,0.16824122839971342,0.5267585286710255,0.1353815246938767,0.12264100380469574,0.47737258283655465,0.1536332620712336,0.6820173961181265,0.16649784576074708,0.10529345205411425
"([3, [2, 2, 2]], 7)",0.48407229259822676,0.15548221134420856,0.6627264357697606,0.1540566396425405,0.10732681388249916,0.4940306227066953,0.16765426726698193,0.5666025726754464,0.14457060760687535,0.1166842621363869,0.4998327677946317,0.17282421188874247,0.5171280184384756,0.1348129828613479,0.12097881512181884,0.47860749958244925,0.15700471767183724,0.6734869894745861,0.1648785903184396,0.1045113929329464
"([3, [2, 2, 2]], 10)",0.4830128168228752,0.1553090234117661,0.6634312653214467,0.15443186238627346,0.10532495952319695,0.4933755261817461,0.16575217365736547,0.5718031589705259,0.14459645856082515,0.11523381729897562,0.4989495624950444,0.16994543263785752,0.5233487740711751,0.1346916284305859,0.11975486541177884,0.4777531864687555,0.15373538683154592,0.6818877961790449,0.16568294483025928,0.10285191128678704
"([4, [3, 2, 3]], 3)",0.4780372533444574,0.15954892218257055,0.6995740076090264,0.17089036487693474,0.10711407253503244,0.4878754921165557,0.16545356915979992,0.6164926205885557,0.15617339530818197,0.11633617815152947,0.4939549063630136,0.16374365624482484,0.5912029279496833,0.14339611954038353,0.12119685409354224,0.47238327184532086,0.16507401395192403,0.7252018198770096,0.1843202828603086,0.1023720096334133
"([4, [3, 2, 3]], 4)",0.4788727011744031,0.1575385166715151,0.696021964278471,0.16770124650415308,0.1049680162766469,0.48886318412625573,0.16532446753518693,0.6384018282730474,0.15418139965219577,0.11418831827603433,0.49521191406164516,0.16139616686358169,0.6088649576937293,0.1412081415521476,0.11892218929490371,0.4729672631844989,0.1583111148608204,0.7339898318919655,0.18183957649157867,0.10069320095872568
"([4, [3, 2, 3]], 5)",0.47910391184703083,0.1720583502292572,0.6601469537597618,0.1705339112756201,0.10694662735105416,0.4899799659722428,0.17355443783286542,0.6183164392017733,0.1562274887461437,0.11454795816729339,0.4961504090219162,0.17396178230730278,0.5685040562225046,0.14401023961669643,0.1191325299626369,0.47337967947514503,0.16869556625771492,0.7059872837957517,0.1839438687788641,0.10219836665772138
"([4, [3, 2, 3]], 7)",0.4784707702801491,0.15656734012378518,0.6996990615147636,0.16766721985907712,0.10382157068929868,0.48885739972318415,0.16422313084878148,0.6224029682745865,0.1539519007990683,0.11224290410497165,0.49494742452680845,0.16432771608232694,0.5831835385344525,0.14117004019091847,0.11646588849069257,0.4728011032248427,0.1594131384065283,0.7340654705145875,0.18142630736274754,0.09929370522514092
