hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(5, 3)",0.5736599271518451,0.1558620964606476,0.2803063596630237,0.20033148319163896,0.049770619334014284,0.5730922159945954,0.1609077984320797,0.28071873346626,0.20456123044299135,0.05628625384496856,0.5774376857048159,0.16469667766827523,0.22923567388809868,0.19167937714816088,0.058179825916862764,0.5704400752716424,0.14661749018593856,0.33609490928150865,0.204168743614172,0.047712805385072866
"(5, 4)",0.6112186144714977,0.19906007734527797,0.2938569004767948,0.23734291967711166,0.05169159854416197,0.6126713901679139,0.20328885196299934,0.2726597326165129,0.2329187891970265,0.06160849699061348,0.6186485112743049,0.206440308203856,0.24088405044601216,0.2223361042334447,0.0647619374773893,0.6066642492571342,0.1990167156488734,0.3244782411646061,0.24671333702689913,0.0491270386302356
"(5, 5)",0.6390786825144577,0.22675798953500692,0.32480752818630465,0.26706782679832386,0.05624024923875454,0.6424963762571433,0.2327381561651535,0.30386434925005323,0.2635873953441943,0.0657669858967192,0.6500347926668127,0.23192047278964675,0.27451554169540343,0.2514267247870988,0.0686228518925263,0.633543543996115,0.22911509858948362,0.35524199398005646,0.2785670115373147,0.05252977012333932
"(5, 7)",0.6694591842199844,0.27124453548247224,0.3816176352909615,0.3171012285603498,0.06172805482542476,0.675888323186761,0.26623891498020963,0.3525634924038891,0.3033799499134168,0.07340528254804023,0.6848426803382919,0.28079925942616435,0.31938862105687404,0.2988533796774945,0.07681315520226652,0.6630012388912824,0.26907221285957855,0.417019971393101,0.3270944898799628,0.05762662573930189
"(5, 10)",0.6926925628885752,0.3101092010342368,0.46028947511417384,0.3705613879965366,0.068699762697601,0.6988687900910878,0.3106816717165373,0.4052821003477234,0.3517320997675253,0.08203037264672637,0.7105498119149353,0.3109412432808427,0.3776420439537004,0.3410610999104469,0.08481674323309225,0.6842747884739077,0.31728506414752095,0.48911813449522296,0.3848940057287284,0.06388098034144776
"(7, 3)",0.5879458436694524,0.17602805981386252,0.26499059034725764,0.21153653919495877,0.05382648232046582,0.587320466870336,0.18571149714995575,0.2493310064740068,0.21286947418920038,0.06428274290779974,0.5919575869898215,0.19175112860597174,0.21042743804164946,0.20065563946127876,0.06819462028738715,0.5844610313391804,0.16646379364091624,0.31254983854875884,0.21723069378568607,0.05004902901576546
"(7, 4)",0.6256586558394842,0.21564708399299817,0.2942114331298083,0.2488762490028673,0.05672470470028999,0.6275090136849099,0.21949878467067363,0.27749728948728625,0.24511387899819242,0.0676166564209751,0.6333637162177415,0.2255533310479911,0.24905424286363415,0.23672194536022373,0.07232858653614722,0.6211945272198774,0.21432949147998642,0.32519119524023576,0.25837030988860615,0.052398678465570774
"(7, 5)",0.6528416405133879,0.24613830091072067,0.33430769597756027,0.2835265596125116,0.061132042751052405,0.6564521554579684,0.24578931273273216,0.3083252278758667,0.27352845054214875,0.07205016987664432,0.6641624474921539,0.25936709929542784,0.27926962897475865,0.26895066669928275,0.0761699850117875,0.6472150600612654,0.23938814245001402,0.36702050132708114,0.2897727694200175,0.05687356225175676
"(7, 7)",0.6813354266306769,0.2912267334954047,0.3889023150687177,0.3330507676605592,0.06423455241250509,0.6873744750835348,0.2865919218368164,0.36096009851562155,0.3195055998240747,0.077777075892309,0.6966023456434881,0.2913492140638859,0.32882932482396204,0.3089567256565279,0.0822169490978538,0.6747223292519238,0.28634747142472666,0.4202669989195287,0.340616835670619,0.059449262215719625
"(7, 10)",0.7034755912867112,0.3234904980491285,0.4675008985637342,0.3823862033453076,0.07064268095372142,0.7104775636999451,0.32095075924407523,0.419701979780952,0.36374312000589604,0.08487208739581159,0.7220972969021694,0.32533382544822464,0.3871172786824578,0.35354663482357185,0.0882328661389903,0.6951929398345533,0.32591271476350925,0.5003691945221378,0.39472407840013474,0.06541837099009043
"(10, 3)",0.603831598775259,0.18799941489479774,0.2649184424062496,0.2199273504648408,0.060639896613224484,0.6033824688946465,0.2063423428193649,0.2577406347872954,0.2291952473500833,0.07401677590027252,0.6082181933640017,0.2090736000919769,0.22152420162192552,0.21511889822126598,0.07943500819336545,0.6001625574821787,0.1828210199026466,0.304311920554732,0.2284165617382099,0.055834924046308486
"(10, 4)",0.6414030075053874,0.23716203949265796,0.2974186173018879,0.2638943439717878,0.06341364283849668,0.6426441189181535,0.24797748232447253,0.2728626711046159,0.2598255827833964,0.07632520362806727,0.648743547988431,0.2483457330872748,0.25602669766689495,0.2521277296101436,0.08139721078224287,0.6368345380479994,0.23502895371604135,0.32107393884535335,0.27139463909183154,0.05873269426768022
"(10, 5)",0.665983485931263,0.26029208978659457,0.3383293697743031,0.29422419556870594,0.06384206535038273,0.6686371077554775,0.26048410570666675,0.3148402088574501,0.2850944003882992,0.07817204846324288,0.6763440060926342,0.2646278809044304,0.29216283345913663,0.2777145146384083,0.08326900432378323,0.6603954099102104,0.2600232353386261,0.3613430325459918,0.30242254607592034,0.059621288825387836
"(10, 7)",0.6921196947567106,0.2946603878173683,0.39460050545604525,0.33738498471430045,0.06785796664999277,0.6982324776112036,0.29588860647102033,0.3736319857125812,0.3302465939843085,0.08381643684868098,0.7076425792205072,0.2960092690082746,0.3442507488272202,0.31831259075146134,0.08765637703524047,0.6854517167357539,0.2994045349754107,0.4246076951063069,0.35118044756215233,0.06360238241569667
"(10, 10)",0.7117451290154948,0.33751052876035115,0.46540563127908585,0.391271987086009,0.07218255412651842,0.7196559386886853,0.33568455231710165,0.4242164191634832,0.37479330622515494,0.08687870686321372,0.7313603557304136,0.33692950924468007,0.39252477781429557,0.36260855025903815,0.0911871097142841,0.703473478638899,0.336158274690782,0.4995675015944861,0.401887207964408,0.06695119406344414
"(15, 3)",0.62317360682389,0.21581949723904503,0.27066366967869715,0.24015012680103068,0.06803849821365396,0.6228748496597584,0.22481141064460414,0.25100948723192534,0.2371892330144391,0.08202401631732345,0.6281337438931677,0.23297099351035003,0.23100410117128584,0.2319833782964901,0.08902483789595156,0.6192053999332867,0.21441924152704891,0.2905987342517316,0.24676333586300372,0.06277239570877437
"(15, 4)",0.6590705875399719,0.2579758377528127,0.30567842938895345,0.27980857593594893,0.06785127292747074,0.659822671621506,0.2549931501880656,0.2894912175561468,0.2711492997393043,0.08358046613779836,0.6658258796258532,0.2594189835291032,0.26590185395233057,0.26262041689239324,0.08944911648464544,0.6546685524217682,0.25585437345282536,0.3295667453791203,0.2880698712000766,0.0628915444686827
"(15, 5)",0.6796456851566638,0.2716802649142041,0.35132667458320105,0.3064123943761881,0.0675921104550501,0.6821816132229267,0.2821312528690036,0.318738872958527,0.29931991523790663,0.08222968417653319,0.6895359228735795,0.2826765211447121,0.3025769042022313,0.29228837612670033,0.0876446102872658,0.6744161521019897,0.27193350181277903,0.37322369046908654,0.3146272763379692,0.0632216366841862
"(15, 7)",0.7025518992641874,0.31174769349126363,0.4042419659885065,0.35202044845412017,0.07094868653350606,0.7086351490020958,0.3123289313948273,0.3729387271737579,0.33995345520094744,0.08749536076425876,0.71816583494689,0.31450407038723416,0.3495086516010531,0.33108369741754395,0.09269110390078071,0.695921731153156,0.3099385980911965,0.43257869524782466,0.36113053681569746,0.0658736296498191
"(15, 10)",0.7187848753728885,0.341032545346917,0.47274186977431903,0.396228635713936,0.07404039579126331,0.7273500978470081,0.3399546494889766,0.4312601231573519,0.38020247849625627,0.0883319642000023,0.7390836002746229,0.33667471034587154,0.4060256824932158,0.3681123111402614,0.0934435952657097,0.7105338030243741,0.34527395409526007,0.5040508920772003,0.40982115466665436,0.06837512383184309
"(20, 3)",0.637276413740565,0.23186104759660103,0.2703511900187907,0.24963115369064215,0.07158968544184945,0.6370689742799901,0.24263894076541428,0.25345261397020924,0.24792792056591317,0.08932022335754758,0.6424070398203587,0.2443297066027493,0.2370078405646842,0.24061308530155923,0.09610155394568992,0.6332950004053789,0.22987591246310468,0.29434509500800393,0.258146263998141,0.06603754825506934
"(20, 4)",0.6702533641005974,0.26472128848626114,0.3199344146602521,0.28972077078579606,0.070560738736119,0.6701306797771013,0.269811855734852,0.3029186854065293,0.285408396358321,0.08810903455779077,0.6761481482469633,0.2683380206794958,0.27880707285711337,0.27347238955699776,0.09434800424146075,0.6658686194189225,0.2633674001514701,0.3429835632403951,0.2979485307981027,0.06550431803331917
