hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(32, 20, 3, 0.1, 2)",0.6517198159661147,0.21273829731828264,0.24509971813721643,0.19292588450860843,0.08206651891920079,0.6493511172834973,0.21411244078060965,0.24057163173931104,0.18783645024127885,0.09711949289896132,0.6540578515060287,0.22991419000593896,0.22491806024319766,0.18494825128370337,0.10121601845840802,0.6482144655366904,0.2053186675756262,0.2671145935362051,0.19813706187318753,0.0803979274342978
"(32, 20, 3, 0.1, 3)",0.655172045151504,0.2125596688611614,0.24761080876061992,0.193727816917781,0.08031379540709523,0.6509671026424989,0.20502242675032564,0.25419498209365393,0.1884779769064093,0.095312645743942,0.6562898519489618,0.21954806017988152,0.2411587232543068,0.1857758882116377,0.09972714490819211,0.6511560840079825,0.20441277523097648,0.2690696044550239,0.19916599766010495,0.07824760304094686
"(32, 20, 3, 0.1, 4)",0.6554612149965138,0.20861577897613737,0.24484346903303542,0.19361940165524313,0.0811194450601758,0.6540316139785454,0.20636852232542313,0.2492061203800588,0.1891040712664611,0.09502571831731002,0.6581919828891716,0.2103875401016031,0.2393043713615228,0.1851868788300494,0.09964542709886148,0.6525610537236209,0.20702966999625064,0.25698233103668194,0.19970703603460999,0.07943996087076263
"(32, 20, 5, 0.1, 2)",0.6766872360072521,0.2249346201454715,0.2653692111721473,0.21091071867544126,0.07655302669174868,0.6746991272752806,0.23392340355669156,0.2535492068521565,0.20530005346581462,0.08986616055515591,0.6799080707529974,0.24417583417771752,0.23890342628577116,0.2036800549273536,0.0953207329611431,0.6729515969226362,0.22090381994731134,0.2809584888181821,0.21565375108542922,0.07439089472018745
"(32, 20, 5, 0.1, 3)",0.6776827079646671,0.2236436090438344,0.2601062325929922,0.21122168719952256,0.07579319282100881,0.675011523133293,0.23349108857430279,0.24913761711155974,0.20376640349406577,0.08956407311782281,0.6811490932866259,0.24515618397437985,0.23432002964557544,0.20265096837393415,0.0939584556942406,0.6731840433761422,0.2136274142084857,0.27823701690188396,0.2152386863396776,0.07432251417922792
"(32, 20, 5, 0.1, 4)",0.6779539248505573,0.22591569519402202,0.26094993457896765,0.21318185477777235,0.07869448578563727,0.6750217250109634,0.2452815549733718,0.2539911095552989,0.2072477984270001,0.09316781925765756,0.6794324582701153,0.25598591819889416,0.23693494094512713,0.20531430165127793,0.0975883315395507,0.6746043301602589,0.22225414788007147,0.27975780061985706,0.2176781266384855,0.07691390533039615
"(32, 20, 7, 0.1, 2)",0.6945943846550453,0.24235825382197906,0.26936462990906346,0.229146194386518,0.07613376330318133,0.6920383960080185,0.25189187427882587,0.2667954717939239,0.22437312474458354,0.08936432274812542,0.6981810566999295,0.2601887909065212,0.2527982171361095,0.22192093695490375,0.0929269554096552,0.689994664149999,0.24084618452370576,0.2849992867820487,0.23391687640125147,0.07455092417778715
"(32, 20, 7, 0.1, 3)",0.6981574755203263,0.241910480896244,0.27180893286912505,0.2290712713057469,0.0744571855971902,0.6952848710315455,0.2518914935589264,0.25998282348092827,0.22483721956497577,0.08729507937873905,0.7008597497441724,0.25650756706755806,0.2498761406660762,0.22222697474396239,0.09041437352519471,0.6939790596950616,0.23699786750266583,0.2853470574156392,0.2337554458620699,0.07310908080766435
"(32, 20, 7, 0.1, 4)",0.6990484991438022,0.2442500272355597,0.27136824739898496,0.23155121590872016,0.07687435562435342,0.6966086538612493,0.2560327132074306,0.2681711333804536,0.22581466327123673,0.08693030903188739,0.7024492664580493,0.2592145570159279,0.25648744431947845,0.2240254362409012,0.09099110966656664,0.6946850652830767,0.23299534837619354,0.2912525020731924,0.23591079162333728,0.0752412945239567
"(32, 20, 10, 0.1, 2)",0.7154446332724472,0.24869003406679482,0.2819277845381795,0.24278622011609355,0.07481907200553667,0.7149539560156251,0.2577414193075687,0.2829179491965249,0.23878615463909642,0.08581901030418994,0.7215444724857797,0.26478787049954583,0.2680054684210538,0.23623919515229067,0.08961656252244493,0.7107965622920583,0.24378192373707144,0.3004577417811005,0.2482765937523025,0.07318018713363711
