hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(3, 1, 5, 'largest')",0.7634351620731686,0.2826136076770477,0.37741154896311657,0.3232047698739441,0.099543036582529,0.7674706287083609,0.28610515745022475,0.35607147840055803,0.3172768385021019,0.11269988421899438,0.7751257969232597,0.3025321508833582,0.3216597671483179,0.3118028875314032,0.1194857338760087,0.7580215222667869,0.2799081982679941,0.40696185720261263,0.3316841644387412,0.09486261179431386
"(3, 1, 5, 'mean')",0.7634351620731686,0.2826136076770477,0.37741154896311657,0.3232047698739441,0.099543036582529,0.7674706287083609,0.28610515745022475,0.35607147840055803,0.3172768385021019,0.11269988421899438,0.7751257969232597,0.3025321508833582,0.3216597671483179,0.3118028875314032,0.1194857338760087,0.7580215222667869,0.2799081982679941,0.40696185720261263,0.3316841644387412,0.09486261179431386
"(3, 1, 5, 'median')",0.7634351620731686,0.2826136076770477,0.37741154896311657,0.3232047698739441,0.099543036582529,0.7674706287083609,0.28610515745022475,0.35607147840055803,0.3172768385021019,0.11269988421899438,0.7751257969232597,0.3025321508833582,0.3216597671483179,0.3118028875314032,0.1194857338760087,0.7580215222667869,0.2799081982679941,0.40696185720261263,0.3316841644387412,0.09486261179431386
"(4, 1, 5, 'largest')",0.7721443456038156,0.3115443376150053,0.4101364981571507,0.3541058521067554,0.09204420731857561,0.7748928318458702,0.31894528484016893,0.37409051513269764,0.3443239322115109,0.10362120747821991,0.7847038137968843,0.32857641165005813,0.3505327668372429,0.3391996525498337,0.1115411855115804,0.765015736971097,0.3118961017471543,0.43148738744353987,0.36207216343536947,0.08715170866005237
"(4, 1, 5, 'mean')",0.7721443456038156,0.3115443376150053,0.4101364981571507,0.3541058521067554,0.09204420731857561,0.7748928318458702,0.31894528484016893,0.37409051513269764,0.3443239322115109,0.10362120747821991,0.7847038137968843,0.32857641165005813,0.3505327668372429,0.3391996525498337,0.1115411855115804,0.765015736971097,0.3118961017471543,0.43148738744353987,0.36207216343536947,0.08715170866005237
"(4, 1, 5, 'median')",0.7721443456038156,0.3115443376150053,0.4101364981571507,0.3541058521067554,0.09204420731857561,0.7748928318458702,0.31894528484016893,0.37409051513269764,0.3443239322115109,0.10362120747821991,0.7847038137968843,0.32857641165005813,0.3505327668372429,0.3391996525498337,0.1115411855115804,0.765015736971097,0.3118961017471543,0.43148738744353987,0.36207216343536947,0.08715170866005237
"(5, 1, 5, 'largest')",0.7763033388571925,0.3279050541591667,0.44428417271469756,0.3773246780607327,0.08902842921950484,0.7789160326398499,0.3459969299580271,0.3905873650941564,0.3669424670353555,0.09838313157296592,0.7903551548077322,0.3578532787072417,0.36627399236071345,0.3620146742385901,0.10817725614888257,0.7681161192697233,0.329624361123069,0.46071457207180994,0.384297774286194,0.08280980333872068
"(5, 1, 5, 'mean')",0.7763033388571925,0.3279050541591667,0.44428417271469756,0.3773246780607327,0.08902842921950484,0.7789160326398499,0.3459969299580271,0.3905873650941564,0.3669424670353555,0.09838313157296592,0.7903551548077322,0.3578532787072417,0.36627399236071345,0.3620146742385901,0.10817725614888257,0.7681161192697233,0.329624361123069,0.46071457207180994,0.384297774286194,0.08280980333872068
"(5, 1, 5, 'median')",0.7763033388571925,0.3279050541591667,0.44428417271469756,0.3773246780607327,0.08902842921950484,0.7789160326398499,0.3459969299580271,0.3905873650941564,0.3669424670353555,0.09838313157296592,0.7903551548077322,0.3578532787072417,0.36627399236071345,0.3620146742385901,0.10817725614888257,0.7681161192697233,0.329624361123069,0.46071457207180994,0.384297774286194,0.08280980333872068
"(6, 1, 5, 'largest')",0.7773136019654397,0.3506228134138094,0.45726001278205514,0.3969035779562641,0.0887523683093525,0.7807496083342725,0.35262686918132075,0.42326621128579267,0.3847309446968956,0.09621385070895812,0.7929425710882523,0.3596048210101802,0.400167737603247,0.3788034880266897,0.10556146331388032,0.7686930232525108,0.350223022827083,0.48154011292817034,0.4055155289109207,0.08250023721969409
"(6, 1, 5, 'mean')",0.7773136019654397,0.3506228134138094,0.45726001278205514,0.3969035779562641,0.0887523683093525,0.7807496083342725,0.35262686918132075,0.42326621128579267,0.3847309446968956,0.09621385070895812,0.7929425710882523,0.3596048210101802,0.400167737603247,0.3788034880266897,0.10556146331388032,0.7686930232525108,0.350223022827083,0.48154011292817034,0.4055155289109207,0.08250023721969409
"(6, 1, 5, 'median')",0.7773136019654397,0.3506228134138094,0.45726001278205514,0.3969035779562641,0.0887523683093525,0.7807496083342725,0.35262686918132075,0.42326621128579267,0.3847309446968956,0.09621385070895812,0.7929425710882523,0.3596048210101802,0.400167737603247,0.3788034880266897,0.10556146331388032,0.7686930232525108,0.350223022827083,0.48154011292817034,0.4055155289109207,0.08250023721969409
"(7, 1, 5, 'largest')",0.7775407344588564,0.36446061783906814,0.47479447093595367,0.41237494663622787,0.0887195117033134,0.7812852748979122,0.3732951221228961,0.43599875618181533,0.40221781801997364,0.09305759735352401,0.794055811411337,0.37926624619968147,0.406409116228768,0.3923688263737607,0.10198634070499266,0.7685836628206445,0.3641725303116322,0.5005407726659793,0.42160378261378195,0.08296072939189723
"(7, 1, 5, 'mean')",0.7775407344588564,0.36446061783906814,0.47479447093595367,0.41237494663622787,0.0887195117033134,0.7812852748979122,0.3732951221228961,0.43599875618181533,0.40221781801997364,0.09305759735352401,0.794055811411337,0.37926624619968147,0.406409116228768,0.3923688263737607,0.10198634070499266,0.7685836628206445,0.3641725303116322,0.5005407726659793,0.42160378261378195,0.08296072939189723
"(7, 1, 5, 'median')",0.7775407344588564,0.36446061783906814,0.47479447093595367,0.41237494663622787,0.0887195117033134,0.7812852748979122,0.3732951221228961,0.43599875618181533,0.40221781801997364,0.09305759735352401,0.794055811411337,0.37926624619968147,0.406409116228768,0.3923688263737607,0.10198634070499266,0.7685836628206445,0.3641725303116322,0.5005407726659793,0.42160378261378195,0.08296072939189723
"(8, 1, 5, 'largest')",0.7773087216117486,0.3803283150603626,0.49083366638184533,0.4285722868687685,0.08905123050362065,0.7810395127093347,0.3884593394345212,0.4406380530827362,0.4129067792881048,0.0912597764885079,0.7943877236459247,0.39497915743626183,0.41700349839445616,0.40569263212970424,0.09991962174539437,0.7680108411483099,0.3769251495884019,0.5210851859666163,0.43743396683151803,0.083996924861748
"(8, 1, 5, 'mean')",0.7773087216117486,0.3803283150603626,0.49083366638184533,0.4285722868687685,0.08905123050362065,0.7810395127093347,0.3884593394345212,0.4406380530827362,0.4129067792881048,0.0912597764885079,0.7943877236459247,0.39497915743626183,0.41700349839445616,0.40569263212970424,0.09991962174539437,0.7680108411483099,0.3769251495884019,0.5210851859666163,0.43743396683151803,0.083996924861748
"(8, 1, 5, 'median')",0.7773087216117486,0.3803283150603626,0.49083366638184533,0.4285722868687685,0.08905123050362065,0.7810395127093347,0.3884593394345212,0.4406380530827362,0.4129067792881048,0.0912597764885079,0.7943877236459247,0.39497915743626183,0.41700349839445616,0.40569263212970424,0.09991962174539437,0.7680108411483099,0.3769251495884019,0.5210851859666163,0.43743396683151803,0.083996924861748
"(9, 1, 5, 'largest')",0.7765990864424732,0.3914052637133588,0.5073105458381355,0.4418838878052833,0.09127043253029828,0.7804860430886192,0.39278083259721347,0.4578584441807325,0.42283027794851863,0.09127930309236079,0.7941754769388732,0.39581425996911407,0.4373455753371652,0.41554479204871925,0.09938718668425427,0.7671115302163399,0.3871985846362141,0.533202709548152,0.44862026110946257,0.08614063251287896
"(9, 1, 5, 'mean')",0.7765990864424732,0.3914052637133588,0.5073105458381355,0.4418838878052833,0.09127043253029828,0.7804860430886192,0.39278083259721347,0.4578584441807325,0.42283027794851863,0.09127930309236079,0.7941754769388732,0.39581425996911407,0.4373455753371652,0.41554479204871925,0.09938718668425427,0.7671115302163399,0.3871985846362141,0.533202709548152,0.44862026110946257,0.08614063251287896
"(9, 1, 5, 'median')",0.7765990864424732,0.3914052637133588,0.5073105458381355,0.4418838878052833,0.09127043253029828,0.7804860430886192,0.39278083259721347,0.4578584441807325,0.42283027794851863,0.09127930309236079,0.7941754769388732,0.39581425996911407,0.4373455753371652,0.41554479204871925,0.09938718668425427,0.7671115302163399,0.3871985846362141,0.533202709548152,0.44862026110946257,0.08614063251287896
"(10, 1, 5, 'largest')",0.7761288527123116,0.39880923222357734,0.5238595517490028,0.4528602880147203,0.09318114495091591,0.7799771036636192,0.40953747158484965,0.47082602121150774,0.4380483740207031,0.09261797195747522,0.794010909432416,0.40350665112378264,0.4530375512326461,0.42684000341907663,0.0995890051086733,0.7664132129440981,0.3969822732082694,0.5477696321318805,0.4603427260194382,0.08822757976335673
"(10, 1, 5, 'mean')",0.7761288527123116,0.39880923222357734,0.5238595517490028,0.4528602880147203,0.09318114495091591,0.7799771036636192,0.40953747158484965,0.47082602121150774,0.4380483740207031,0.09261797195747522,0.794010909432416,0.40350665112378264,0.4530375512326461,0.42684000341907663,0.0995890051086733,0.7664132129440981,0.3969822732082694,0.5477696321318805,0.4603427260194382,0.08822757976335673
"(10, 1, 5, 'median')",0.7761288527123116,0.39880923222357734,0.5238595517490028,0.4528602880147203,0.09318114495091591,0.7799771036636192,0.40953747158484965,0.47082602121150774,0.4380483740207031,0.09261797195747522,0.794010909432416,0.40350665112378264,0.4530375512326461,0.42684000341907663,0.0995890051086733,0.7664132129440981,0.3969822732082694,0.5477696321318805,0.4603427260194382,0.08822757976335673
"(12, 1, 5, 'largest')",0.7748789393446985,0.41882917807363007,0.5486384023622601,0.4750252634149984,0.09637294675082583,0.7780685359165418,0.42499544659904825,0.4976354357869761,0.4584559184250465,0.09633338726172856,0.7925177671435564,0.42377544692577884,0.4718236272358981,0.4465106636899885,0.10190742424308383,0.764881518849716,0.4144813319496776,0.5767445173327603,0.48233172270841784,0.09123803784543118
"(12, 1, 5, 'mean')",0.7748789393446985,0.41882917807363007,0.5486384023622601,0.4750252634149984,0.09637294675082583,0.7780685359165418,0.42499544659904825,0.4976354357869761,0.4584559184250465,0.09633338726172856,0.7925177671435564,0.42377544692577884,0.4718236272358981,0.4465106636899885,0.10190742424308383,0.764881518849716,0.4144813319496776,0.5767445173327603,0.48233172270841784,0.09123803784543118
