hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(5, 0.1, 0.1, 3)",0.61579206423063,0.14700027536412494,0.49022338336158233,0.22617795606708652,0.09052321824673844,0.6238788893528799,0.1466170972003418,0.4783527677226856,0.2244418432875558,0.09474540340056727,0.6296057386472591,0.139353017081577,0.4470723069301649,0.21247675457853135,0.09588386021063698,0.6117544398823622,0.1568949153020376,0.5047190529562924,0.2393778150523657,0.08834585259248143
"(5, 0.1, 0.1, 4)",0.6137826901926375,0.14783186522935154,0.5269785074887079,0.23089217014861868,0.09211044186559633,0.621970425112713,0.15774896225886248,0.4862790691669254,0.23821950221471835,0.09539102748804149,0.627869095437111,0.14614780134917715,0.46230717711618635,0.22208768068226575,0.09558856105598644,0.6096064902635214,0.15927982915748432,0.5481192839124497,0.24683193486239685,0.08919091075835228
"(5, 0.1, 0.1, 5)",0.6109834335419942,0.15508348229672772,0.5640319437389997,0.24327676696867367,0.09299765062726272,0.6193143622271204,0.15674551671839818,0.5167021039789874,0.24052572401636904,0.09573033814604667,0.6252898138571903,0.1459402396772645,0.4900724536748942,0.2249052325405021,0.09582530323547551,0.6068187946484954,0.1667218592325243,0.5869310551292249,0.25967984701637364,0.0891080334810363
"(5, 0.1, 0.1, 7)",0.6063988047620105,0.17857825234159927,0.6179574132033008,0.27708427794225476,0.09603534486568915,0.6150832205823749,0.163293844263227,0.5663637413359268,0.25349894087129915,0.09848640305347248,0.6208258489603056,0.15423866233298622,0.535971895950426,0.23954309967400833,0.09680919486650405,0.6025233857008573,0.19321885753601822,0.6418600675559628,0.2970245451649838,0.09157028625209292
"(5, 0.1, 0.1, 10)",0.6003495368937827,0.2054730261797447,0.6725672007563824,0.3147792408802853,0.1033832068259883,0.6090383687669141,0.1804934690339857,0.6155487998191522,0.27913728349910666,0.10363777585432324,0.6142297944277104,0.16419016850030424,0.5873491445453961,0.25663848407502776,0.10032511169002188,0.5969753258791328,0.22212666505716666,0.7110336950694015,0.33850461330701737,0.09769712397008395
"(5, 0.1, 0.2, 3)",0.6157921749188697,0.14700027536412494,0.49022338336158233,0.22617795606708652,0.09052321824673844,0.6238790055440363,0.1466170972003418,0.4783527677226856,0.2244418432875558,0.09474540340056727,0.6296058475134406,0.139353017081577,0.4470723069301649,0.21247675457853135,0.09588386021063698,0.6117545573092938,0.1568949153020376,0.5047190529562924,0.2393778150523657,0.08834585259248143
"(5, 0.1, 0.2, 4)",0.6137828444857577,0.14783186522935154,0.5269785074887079,0.23089217014861868,0.09211044186559633,0.6219705860495726,0.15774896225886248,0.4862790691669254,0.23821950221471835,0.09539102748804149,0.627869244954606,0.14614780134917715,0.46230717711618635,0.22208768068226575,0.09558856105598644,0.6096066551463184,0.15927982915748432,0.5481192839124497,0.24683193486239685,0.08919091075835228
"(5, 0.1, 0.2, 5)",0.6109836694707714,0.15508348229672772,0.5640319437389997,0.24327676696867367,0.09299765062726272,0.6193145967687361,0.15674551671839818,0.5167021039789874,0.24052572401636904,0.09573033814604667,0.6252900312645988,0.1459402396772645,0.4900724536748942,0.2249052325405021,0.09582530323547551,0.6068190452809246,0.1667218592325243,0.5869310551292249,0.25967984701637364,0.0891080334810363
"(5, 0.1, 0.2, 7)",0.6063989920090139,0.17857825234159927,0.6179574132033008,0.27708427794225476,0.09603534486568915,0.6150834150895502,0.163293844263227,0.5663637413359268,0.25349894087129915,0.09848640305347248,0.6208260150456155,0.15423866233298622,0.535971895950426,0.23954309967400833,0.09680919486650405,0.602523596690415,0.19321885753601822,0.6418600675559628,0.2970245451649838,0.09157028625209292
"(5, 0.1, 0.2, 10)",0.6003499162338657,0.2054730261797447,0.6725672007563824,0.3147792408802853,0.1033832068259883,0.6090387339698501,0.1804934690339857,0.6155487998191522,0.27913728349910666,0.10363777585432324,0.6142301345767097,0.16419016850030424,0.5873491445453961,0.25663848407502776,0.10032511169002188,0.5969757263586714,0.22212666505716666,0.7110336950694015,0.33850461330701737,0.09769712397008395
"(5, 0.1, 0.3, 3)",0.6157921749188697,0.14700027536412494,0.49022338336158233,0.22617795606708652,0.09052321824673844,0.6238790055440363,0.1466170972003418,0.4783527677226856,0.2244418432875558,0.09474540340056727,0.6296058475134406,0.139353017081577,0.4470723069301649,0.21247675457853135,0.09588386021063698,0.6117545573092938,0.1568949153020376,0.5047190529562924,0.2393778150523657,0.08834585259248143
"(5, 0.1, 0.3, 4)",0.6137828444857577,0.14783186522935154,0.5269785074887079,0.23089217014861868,0.09211044186559633,0.6219705860495726,0.15774896225886248,0.4862790691669254,0.23821950221471835,0.09539102748804149,0.627869244954606,0.14614780134917715,0.46230717711618635,0.22208768068226575,0.09558856105598644,0.6096066551463184,0.15927982915748432,0.5481192839124497,0.24683193486239685,0.08919091075835228
"(5, 0.1, 0.3, 5)",0.6109836694707714,0.15508348229672772,0.5640319437389997,0.24327676696867367,0.09299765062726272,0.6193145967687361,0.15674551671839818,0.5167021039789874,0.24052572401636904,0.09573033814604667,0.6252900312645988,0.1459402396772645,0.4900724536748942,0.2249052325405021,0.09582530323547551,0.6068190452809246,0.1667218592325243,0.5869310551292249,0.25967984701637364,0.0891080334810363
"(5, 0.1, 0.3, 7)",0.6063989920090139,0.17857825234159927,0.6179574132033008,0.27708427794225476,0.09603534486568915,0.6150834150895502,0.163293844263227,0.5663637413359268,0.25349894087129915,0.09848640305347248,0.6208260150456155,0.15423866233298622,0.535971895950426,0.23954309967400833,0.09680919486650405,0.602523596690415,0.19321885753601822,0.6418600675559628,0.2970245451649838,0.09157028625209292
"(5, 0.1, 0.3, 10)",0.6003499162338657,0.2054730261797447,0.6725672007563824,0.3147792408802853,0.1033832068259883,0.6090387339698501,0.1804934690339857,0.6155487998191522,0.27913728349910666,0.10363777585432324,0.6142301345767097,0.16419016850030424,0.5873491445453961,0.25663848407502776,0.10032511169002188,0.5969757263586714,0.22212666505716666,0.7110336950694015,0.33850461330701737,0.09769712397008395
"(5, 0.1, 0.5, 3)",0.6157921749188697,0.14700027536412494,0.49022338336158233,0.22617795606708652,0.09052321824673844,0.6238790055440363,0.1466170972003418,0.4783527677226856,0.2244418432875558,0.09474540340056727,0.6296058475134406,0.139353017081577,0.4470723069301649,0.21247675457853135,0.09588386021063698,0.6117545573092938,0.1568949153020376,0.5047190529562924,0.2393778150523657,0.08834585259248143
"(5, 0.1, 0.5, 4)",0.6137828444857577,0.14783186522935154,0.5269785074887079,0.23089217014861868,0.09211044186559633,0.6219705860495726,0.15774896225886248,0.4862790691669254,0.23821950221471835,0.09539102748804149,0.627869244954606,0.14614780134917715,0.46230717711618635,0.22208768068226575,0.09558856105598644,0.6096066551463184,0.15927982915748432,0.5481192839124497,0.24683193486239685,0.08919091075835228
"(5, 0.1, 0.5, 5)",0.6109836694707714,0.15508348229672772,0.5640319437389997,0.24327676696867367,0.09299765062726272,0.6193145967687361,0.15674551671839818,0.5167021039789874,0.24052572401636904,0.09573033814604667,0.6252900312645988,0.1459402396772645,0.4900724536748942,0.2249052325405021,0.09582530323547551,0.6068190452809246,0.1667218592325243,0.5869310551292249,0.25967984701637364,0.0891080334810363
"(5, 0.1, 0.5, 7)",0.6063989920090139,0.17857825234159927,0.6179574132033008,0.27708427794225476,0.09603534486568915,0.6150834150895502,0.163293844263227,0.5663637413359268,0.25349894087129915,0.09848640305347248,0.6208260150456155,0.15423866233298622,0.535971895950426,0.23954309967400833,0.09680919486650405,0.602523596690415,0.19321885753601822,0.6418600675559628,0.2970245451649838,0.09157028625209292
"(5, 0.1, 0.5, 10)",0.6003499162338657,0.2054730261797447,0.6725672007563824,0.3147792408802853,0.1033832068259883,0.6090387339698501,0.1804934690339857,0.6155487998191522,0.27913728349910666,0.10363777585432324,0.6142301345767097,0.16419016850030424,0.5873491445453961,0.25663848407502776,0.10032511169002188,0.5969757263586714,0.22212666505716666,0.7110336950694015,0.33850461330701737,0.09769712397008395
"(5, 0.2, 0.1, 3)",0.6143581349381952,0.14462424065135035,0.498077494343245,0.2241602145527888,0.09007948165545829,0.6227125331061206,0.14622648652213777,0.4766476066764146,0.2237964480929545,0.09411713330063781,0.6282606823235865,0.13976696672320002,0.44859518325127906,0.21312991684590507,0.09573674573729513,0.6104794448601382,0.15538070227899298,0.507410413262903,0.2379083983103881,0.08803681968081621
"(5, 0.2, 0.1, 4)",0.6124910907503716,0.14631176304455737,0.532852125364758,0.22958386108176335,0.09188272371892792,0.6207458761888492,0.15641232864458454,0.49617232106259157,0.2378464408600844,0.0948022571149393,0.6265677392163718,0.1453531351499554,0.473388149555298,0.22241428972523294,0.09518579114555592,0.6083620732859383,0.15824807663747134,0.5524295995687654,0.24602129639427783,0.0887852358304472
"(5, 0.2, 0.1, 5)",0.6091720796757477,0.15518708609761786,0.5727061104049432,0.24420228926739543,0.09330635655089312,0.6177912997252829,0.15688369538994876,0.5236848392352438,0.2414381759337807,0.09606114696145485,0.6234706069792159,0.14601931541326005,0.4921044304264845,0.22521259398722737,0.09612107435586216,0.6052472532728334,0.16516636128130088,0.5978300905594107,0.2588253732607983,0.08973493587519304
"(5, 0.2, 0.1, 7)",0.6047973917184332,0.17898158776300752,0.6177303063739273,0.2775466309911314,0.09574887529981618,0.6137370443076772,0.16277797390154206,0.5705395104922356,0.2532907438460409,0.09839335003640365,0.619257822318383,0.15466743978458555,0.5401435894418529,0.2404758202760227,0.09648366862948118,0.6010880535103745,0.19255500520482674,0.6399028712121008,0.2960305961117917,0.09157162258627723
"(5, 0.2, 0.1, 10)",0.5986655146561569,0.20393489456132174,0.6774057889944115,0.31349211657053455,0.10369328776327058,0.6072918632808583,0.1808157299642929,0.6136168169998217,0.2793228276162268,0.10393106574682554,0.6123164090639489,0.16156692298863687,0.5980212908134528,0.25440220920435913,0.10043717766821084,0.5954144387959786,0.22149251748382304,0.7100270084847069,0.33765404848013564,0.09820735148713877
"(5, 0.2, 0.2, 3)",0.6143582456264349,0.14462424065135035,0.498077494343245,0.2241602145527888,0.09007948165545829,0.622712649297277,0.14622648652213777,0.4766476066764146,0.2237964480929545,0.09411713330063781,0.628260791189768,0.13976696672320002,0.44859518325127906,0.21312991684590507,0.09573674573729513,0.6104795622870698,0.15538070227899298,0.507410413262903,0.2379083983103881,0.08803681968081621
"(5, 0.2, 0.2, 4)",0.6124912450434917,0.14631176304455737,0.532852125364758,0.22958386108176335,0.09188272371892792,0.6207460371257086,0.15641232864458454,0.49617232106259157,0.2378464408600844,0.0948022571149393,0.6265678887338668,0.1453531351499554,0.473388149555298,0.22241428972523294,0.09518579114555592,0.608362238168735,0.15824807663747134,0.5524295995687654,0.24602129639427783,0.0887852358304472
"(5, 0.2, 0.2, 5)",0.6091722928644017,0.15518708609761786,0.5727061104049432,0.24420228926739543,0.09330635655089312,0.6177915107221804,0.15688369538994876,0.5236848392352438,0.2414381759337807,0.09606114696145485,0.623470803779287,0.14601931541326005,0.4921044304264845,0.22521259398722737,0.09612107435586216,0.6052474785888555,0.16516636128130088,0.5978300905594107,0.2588253732607983,0.08973493587519304
