hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(True, 'old', 3)",0.649737991680948,0.17592185829506543,0.3912135636288662,0.24270399782243196,0.10463852207129556,0.663407774512793,0.1788829818743632,0.37380755206731947,0.2419719732996692,0.11386280619812207,0.671448267605159,0.1729105114490534,0.3595508724100026,0.23351975232376102,0.116729821659331,0.6432581461481602,0.18310443263915138,0.40644247649362014,0.2524698812119649,0.10278329498956648
"(True, 'old', 4)",0.6400123856816355,0.17703181244449653,0.4473584843302483,0.2536768546932681,0.10261899836141446,0.6555042484443718,0.1888385439140633,0.4195301890786469,0.26044556775258415,0.11147930323488872,0.664937798581617,0.18452919579997648,0.3894392067843561,0.2504071768317917,0.11479519958674593,0.6325405381762549,0.1878184924419569,0.46802621741864575,0.26806339140119084,0.09960153699347424
"(True, 'old', 5)",0.6270955523460251,0.18248713445642706,0.4990132020835171,0.2672441506529163,0.10104933809517937,0.6431831911292911,0.18229281531812153,0.44101425292435403,0.2579586655023276,0.10967509959306489,0.6533035432038553,0.1776520775007178,0.3989802498012806,0.24584008527787998,0.11330638696785313,0.61911623413535,0.18786263296808361,0.5314884758939975,0.2776024760192134,0.09695544016649577
"(True, 'old', 7)",0.6080220371335399,0.1900389046645529,0.5666746323179997,0.284626139652062,0.09773598952331142,0.623842327012435,0.18277198998189373,0.494384573351667,0.2668796469844549,0.10880784519268157,0.635241704141658,0.17581044304251536,0.46007509889062653,0.2544042964804336,0.10989825897474453,0.5991037973190595,0.20209752466350217,0.5903310170991763,0.3011109040127461,0.09426459522542517
"(True, 'old', 10)",0.5856920926553929,0.20676880214624072,0.6384850783703278,0.3123766666701354,0.09841071970481205,0.6017831116143932,0.1850939597291111,0.5699804392953294,0.27944249364994267,0.10910485814875084,0.6127601170261326,0.17470292283407923,0.5157789094442532,0.2610005906129691,0.1088106321467756,0.5771424350396085,0.21784107112057532,0.6942003670445813,0.33161947517104706,0.09376778477020933
"(True, 'new', 3)",0.6504708932764999,0.17899138785287924,0.38853472242002046,0.2450790120001762,0.10552871061724747,0.6649575782969692,0.17582531799255402,0.3887292110041227,0.2421322782026494,0.11451042160459912,0.6730211568862149,0.17340051602047607,0.35314771585291743,0.2325940624374646,0.11763959697429857,0.6440719929210322,0.19002413414745978,0.4089890484377097,0.25948607498005816,0.10338535963544963
"(True, 'new', 4)",0.6405966538375476,0.1837877302591543,0.447706790529781,0.26059771587655806,0.10090051494887663,0.6546399395212338,0.18309700299091247,0.4123423378366674,0.25358971464407193,0.11063524694737963,0.6640470195888135,0.17684758510675452,0.384962318351729,0.24235833486916042,0.1135524375038576,0.6329610245880669,0.18853578575038543,0.46897278171816914,0.26894904879245585,0.0983782475033158
"(True, 'new', 5)",0.6276469117109923,0.18575906636168857,0.47189673532940396,0.26658047187757733,0.1019966178202735,0.6436925362131048,0.18924050903752065,0.42831940946654556,0.2625020848970969,0.11013348920384076,0.6540032210915759,0.1798433118889704,0.40981273108814764,0.2499832900585284,0.11345618462909189,0.6194972572360675,0.19372864326640124,0.4910691650771764,0.27784599174019253,0.09823016110233035
"(True, 'new', 7)",0.6082329666846995,0.19462815491007418,0.5570990910846719,0.2884747593694292,0.09833604566512573,0.624611129602897,0.17752560772704815,0.4904789316884658,0.26069454708045664,0.10846270272035494,0.6352502377582893,0.1678204195664151,0.4589419709797443,0.24577043960580747,0.11042526543178219,0.5999929635621147,0.20224940771967512,0.595703207098742,0.3019743743551695,0.09391032413919713
"(True, 'new', 10)",0.5884066219855373,0.2115116687649973,0.6345962581551532,0.3172751590757443,0.09807050365418513,0.6047488400254833,0.18556941483868886,0.5590867256218108,0.27865048276794924,0.10768885937389362,0.6156847639683587,0.1774353380918906,0.5059235255535792,0.26272787719868684,0.10695642094739255,0.5800244579172508,0.2181979828637167,0.6956775594122434,0.3322015595455508,0.09404532989321164
