hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(5, 'largest', 3)",0.7634351620731686,0.2826136076770477,0.37741154896311657,0.3232047698739441,0.099543036582529,0.7674706287083609,0.28610515745022475,0.35607147840055803,0.3172768385021019,0.11269988421899438,0.7751257969232597,0.3025321508833582,0.3216597671483179,0.3118028875314032,0.1194857338760087,0.7580215222667869,0.2799081982679941,0.40696185720261263,0.3316841644387412,0.09486261179431386
"(5, 'largest', 4)",0.7721443456038156,0.3115443376150053,0.4101364981571507,0.3541058521067554,0.09204420731857561,0.7748928318458702,0.31894528484016893,0.37409051513269764,0.3443239322115109,0.10362120747821991,0.7847038137968843,0.32857641165005813,0.3505327668372429,0.3391996525498337,0.1115411855115804,0.765015736971097,0.3118961017471543,0.43148738744353987,0.36207216343536947,0.08715170866005237
"(5, 'largest', 5)",0.7763033388571925,0.3279050541591667,0.44428417271469756,0.3773246780607327,0.08902842921950484,0.7789160326398499,0.3459969299580271,0.3905873650941564,0.3669424670353555,0.09838313157296592,0.7903551548077322,0.3578532787072417,0.36627399236071345,0.3620146742385901,0.10817725614888257,0.7681161192697233,0.329624361123069,0.46071457207180994,0.384297774286194,0.08280980333872068
"(5, 'largest', 7)",0.7775407344588564,0.36446061783906814,0.47479447093595367,0.41237494663622787,0.0887195117033134,0.7812852748979122,0.3732951221228961,0.43599875618181533,0.40221781801997364,0.09305759735352401,0.794055811411337,0.37926624619968147,0.406409116228768,0.3923688263737607,0.10198634070499266,0.7685836628206445,0.3641725303116322,0.5005407726659793,0.42160378261378195,0.08296072939189723
"(5, 'largest', 10)",0.7761288527123116,0.39880923222357734,0.5238595517490028,0.4528602880147203,0.09318114495091591,0.7799771036636192,0.40953747158484965,0.47082602121150774,0.4380483740207031,0.09261797195747522,0.794010909432416,0.40350665112378264,0.4530375512326461,0.42684000341907663,0.0995890051086733,0.7664132129440981,0.3969822732082694,0.5477696321318805,0.4603427260194382,0.08822757976335673
"(5, 'mean', 3)",0.759945757187523,0.29398886583041356,0.3647458356908765,0.3255672254808683,0.0991547623650606,0.7639863884239403,0.289211678657369,0.3453725488294851,0.31480698789104006,0.11159184937294572,0.7715963864438075,0.30163269981217355,0.31311852585754196,0.30726831398417165,0.11799329727639833,0.7544891590713076,0.2870036012018185,0.38979069599356864,0.3305918324924087,0.09476302992665961
"(5, 'mean', 4)",0.7713108993148765,0.3094645045121986,0.40832565103162644,0.35208701122512975,0.09303931070627525,0.7744115972864305,0.31167172349282846,0.38378962321387144,0.34399143501551616,0.10391705562605769,0.7841340928924787,0.31845035671276073,0.35926694649758206,0.33762952996863466,0.11213142805520164,0.7642551329520392,0.30980028635339885,0.42961968467414036,0.3600019110929546,0.08838775380708423
"(5, 'mean', 5)",0.7758648505358302,0.32883228688992683,0.4356985619391317,0.3747965297581635,0.08966883044166095,0.7785516502613823,0.34416670845675984,0.3918737368500805,0.36647413875773677,0.09832061336361626,0.7897913382249684,0.3456527656717235,0.3702409624623689,0.3575246090607121,0.1084153030047436,0.7678042702713962,0.3362646005625932,0.4496212306554372,0.3847676024301975,0.08355524739468398
"(5, 'mean', 7)",0.7785150982084353,0.3692062928322672,0.4688239474849857,0.41309428541956533,0.0882144676778885,0.7823271942103351,0.3776884540575519,0.42734357015522084,0.4009846254779575,0.09211733556754223,0.7950852511988578,0.3799916304787883,0.4063765956161055,0.39274146648430014,0.10190210811500405,0.7695713767141085,0.36206812485236384,0.5000104969704547,0.42000313767622804,0.08211627388443167
"(5, 'mean', 10)",0.7776845699607806,0.40138538686088454,0.52096087056272,0.4534220828396872,0.09313298697874266,0.7816949270155555,0.41010709500855996,0.47285477045829805,0.4392513512937686,0.09141203029104608,0.7957534744814923,0.41286628977996587,0.45005792439296555,0.43066063595929804,0.09828760641812354,0.7679897210937118,0.3995530041722487,0.5450106935075135,0.46108200099545993,0.08820443948960041
