hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(3, 5, 20)",0.5820982622780282,0.14618528224419886,0.5138840606622619,0.17252169072468362,0.08496783622737449,0.5822404208579429,0.1523805413280843,0.5357593021683046,0.15280823221810136,0.08618131494581718,0.5852992626028438,0.14490230097956436,0.5145657910396833,0.13984861583339683,0.08961701466693821,0.5794273960280651,0.13996953590726025,0.5482038342531351,0.18592157966197304,0.08024404260352035
"(3, 5, 50)",0.5835270910369394,0.13753324267257475,0.5237853126506049,0.17360285378635776,0.08563873969425896,0.5838987814586293,0.15069961004308802,0.5133999359499596,0.15358666274420277,0.08605472172864315,0.5869585345766688,0.1367005957278179,0.49546998840498085,0.14059947295781058,0.08995007026906672,0.5808048838743916,0.1373261006908318,0.5380993819797556,0.18704896490439524,0.08101516373069484
"(3, 5, 70)",0.5826690603952471,0.13276001160914447,0.5252017935931165,0.1725249572334533,0.0846135718902108,0.5827426147215874,0.14728620036316684,0.5199537469751597,0.1529031958738683,0.0856238180190342,0.5857130283647936,0.13676756866247963,0.5016813278537066,0.13972163744945484,0.08905963575150544,0.5800419150087155,0.13398532512018474,0.5433440321333605,0.18630753601670563,0.08017454946167561
"(3, 5, 100)",0.5813233768780494,0.13564124012756204,0.5270571747903496,0.17288719548419776,0.08592216834622424,0.5816243745848553,0.1478590459228499,0.5228616730225462,0.15305153245553274,0.08688045311245321,0.5843546055221496,0.14270592004841934,0.5009423029474682,0.1401140013823932,0.09057851937200477,0.5788880749109429,0.14058416639951557,0.5397220125171267,0.18656979597724102,0.08147219210741995
"(3, 5, 120)",0.5794714472413187,0.13503069199628137,0.53521366389674,0.17234081971329124,0.08476366108404593,0.5793114227629886,0.1466288877485399,0.5268885251177244,0.15222877886064162,0.0852226973666526,0.5824412810511471,0.13547544144463336,0.4983250864641025,0.13916717226722392,0.08887912062948398,0.5767637550615438,0.14420383791161584,0.5501116102947532,0.18600448249021342,0.08022703832446107
"(3, 5, 150)",0.5814691434592173,0.1372516492562021,0.5264440062031804,0.17264620550105955,0.08507702251865512,0.5817925756759897,0.14843590191315098,0.5154021054144361,0.1529109213739865,0.08548162386737887,0.5845254760731825,0.13695949112201478,0.49981628416561935,0.13998520014019233,0.08904923210000891,0.5790905343931865,0.13585702593607382,0.5456481404129314,0.18619164596809662,0.08067158256397433
"(3, 5, 200)",0.5803225878948849,0.13049189171193348,0.5349949925067669,0.17210608796002552,0.08477743373952011,0.5801802131480281,0.14831256691358377,0.5259484055264688,0.15196367057934046,0.08493672605877006,0.5830793527759153,0.14166550412093762,0.5017376934324266,0.1391931154849667,0.08842733756187993,0.5777265710479278,0.1359726613956918,0.5513118455214221,0.18576842421113218,0.08077579975613905
"(3, 7, 20)",0.5778185789348419,0.16174725890225086,0.49001447082418115,0.1770437692373196,0.0890122315086389,0.5763991652092173,0.149736311183841,0.48179017453793777,0.15965337752761763,0.09181505964632626,0.5816434294404863,0.1440363955641798,0.44326915943626005,0.14717301073623945,0.0944609494515327,0.5734471202638955,0.16740401251572717,0.5144661199714682,0.19005534288762216,0.08638601601051253
"(3, 7, 50)",0.5778933896549474,0.1574985818216276,0.48596046732717196,0.1774545805233938,0.08959704008028906,0.5772013311724417,0.14807760123573319,0.4660094126345636,0.16057697082546546,0.09261423117931576,0.5819540717933457,0.13915540809134308,0.44029620582792695,0.1476775999653386,0.09464321440037637,0.5738875636864539,0.16548959316614983,0.521091847810942,0.19105256958854178,0.08754790444544132
"(3, 7, 70)",0.5782151435008053,0.16010903839704455,0.4967829684472082,0.17826695008348012,0.09108950159879278,0.5766863046363011,0.14960348973294274,0.48231489719206483,0.16160450468528742,0.09467425275020641,0.5813034325861215,0.14393682101973887,0.46098783830381673,0.14847883362104589,0.09729027090571113,0.5742910282646466,0.17036712315346655,0.522675164689697,0.19201543993229886,0.08869881084432049
"(3, 7, 100)",0.5761373114585224,0.15631662433815605,0.4826719722490831,0.1757477851649253,0.08692026935697345,0.5745414922416577,0.14909314694033673,0.4784944201565734,0.1596228937256508,0.09034853471173923,0.5792921202282869,0.14194855844800688,0.4512364158379728,0.14638311303387014,0.09243193939865993,0.5720382129974769,0.16153629421113552,0.5237693001530901,0.18953878917709754,0.08468511173230488
"(3, 7, 120)",0.5780299711597504,0.1611811675890756,0.5011166615858261,0.17707664652793545,0.09007649362177461,0.5767027806427274,0.1482395839001994,0.48489978004144985,0.1607050051057442,0.09336192927427613,0.581169255498259,0.1397176211186765,0.4641342545171776,0.14706692798434354,0.0951277918051056,0.5742786383239245,0.1703511429418801,0.5232551743623305,0.1911635312821749,0.08783894895633032
"(3, 7, 150)",0.5793275536686944,0.16027076834989415,0.502326748617739,0.17789694049978197,0.09135919977995724,0.5775078357221908,0.14856220188370417,0.49262871118005824,0.16171302392577744,0.09475955844431698,0.5828960281909751,0.14116418619352866,0.46364990749980867,0.14833103648237775,0.0968273947861273,0.5747270995602031,0.16987272355291028,0.5240133844739375,0.19180750875463207,0.08923422310068443
"(3, 7, 200)",0.5784830317541287,0.15947256967642856,0.5074721286811921,0.1771445652928307,0.08842417909926775,0.5763698154486504,0.14889420234923065,0.48873176967612597,0.15993832243176245,0.09127041926265335,0.581538426376338,0.14000995648767967,0.46127461379790385,0.14680398374764567,0.09304017993653259,0.574048356167501,0.1679497447573712,0.5272105247188912,0.1907844556457072,0.08638114893343017
"(3, 10, 20)",0.6099069859822461,0.16647907715808583,0.4532472182851226,0.18412558673867455,0.10138376652791783,0.6153192483764307,0.15654426944247296,0.4256168074643662,0.16834180189436243,0.10604858320491847,0.6186854582787993,0.14917696765195979,0.42205260406701045,0.15505055749851515,0.10841513381229739,0.6076120686580092,0.17439021014781236,0.46514359546949513,0.19763123593792584,0.09869660864980472
"(3, 10, 50)",0.6073652766646813,0.16520610721501908,0.455863288375657,0.18410244093965825,0.09928299656589411,0.6119376510623377,0.1666461220156406,0.4166969953883122,0.16896401196754832,0.10343503192594383,0.6162327528894544,0.15744848896240765,0.41011007031518376,0.1558061553031629,0.10641100404743353,0.6041682890416767,0.17338799726612258,0.4663660097563802,0.19762589910463715,0.0965212004082143
"(3, 10, 70)",0.6059981507323935,0.17790059403208008,0.4456360513935307,0.1845003062513882,0.0980382902673441,0.6104397493735418,0.16479278178083848,0.42533515016081674,0.16827900069392088,0.10196230379272524,0.6146973155350237,0.16194763804159926,0.405181608369436,0.15515364490191041,0.10401217836491766,0.6027687014450027,0.17939881825413617,0.45825323886139463,0.19800599584910453,0.09566827718631156
"(3, 10, 100)",0.6062259424607941,0.16912718174618077,0.44029142508797275,0.18411344498556179,0.09763881249423541,0.6113388694632882,0.16027893999977133,0.42103344085103067,0.16861204727259108,0.1012824607337679,0.6150911596168344,0.15044701141951403,0.4216392744289319,0.15467328988260828,0.10344477556619723,0.6035573694286267,0.17381488374927553,0.4500893713635754,0.19820378287712637,0.09478014449641271
"(3, 10, 120)",0.6068808086643052,0.17116243736993209,0.4495666428153185,0.1847008651093013,0.09948965063938327,0.6109288700231345,0.15975186858766344,0.4183459289267073,0.16908063973392734,0.10301580584082357,0.6150960526431203,0.15549568175065415,0.4129760545902689,0.15585883931379135,0.10548867065751635,0.6038587088476829,0.17815776151184717,0.4590110091768194,0.19834883387618477,0.09677698798804799
"(3, 10, 150)",0.6063085332672562,0.16283119396019327,0.457516760025451,0.18439889926368666,0.097732828538761,0.6115284353455885,0.15988561500740722,0.42896827502196255,0.168974434582252,0.10124316524162207,0.6151193160498045,0.15201962077832065,0.41968469574669537,0.1554411558731743,0.10372761639099352,0.6038464472893474,0.1728543180370958,0.46841723492916837,0.19816708477500936,0.0952747009521514
"(3, 10, 200)",0.6086155897017409,0.17363919295464486,0.4489275086068601,0.1854062674005562,0.10011532883101067,0.6132506367342881,0.1585310568032525,0.4336977158597286,0.16944534647387097,0.10340588737478487,0.6173137459140383,0.1585769362508675,0.4187000462617185,0.1559638172883147,0.10614032569290927,0.6056659749571637,0.17502072587524667,0.4683307800282111,0.19913306087004173,0.09725894357645831
"(3, 15, 20)",0.6313272814137804,0.1593113493812088,0.4501565450211283,0.18628675391495128,0.10215597580385885,0.6364779808837919,0.15731033147541992,0.42100389291583623,0.17094751339519318,0.10772532930061113,0.6405294431553065,0.1518919549003589,0.40926752248431336,0.15832052759611034,0.10968312241405051,0.6282096563987151,0.1610854810899414,0.4717501233329712,0.19908662149041506,0.09960625400784442
"(3, 15, 50)",0.6317813310280148,0.16303357690868667,0.45457282923632897,0.18644039698222686,0.10242852254182688,0.6365611426166154,0.14964884515075907,0.4333711786441331,0.17165242872239322,0.10814518137087277,0.6406557110627108,0.14141234589622714,0.41186824896655094,0.15842006797079983,0.10983397820830063,0.6287469172937187,0.17061134501928027,0.48217109734021085,0.19998340772597034,0.1003184553431558
"(3, 15, 70)",0.6317945868985774,0.16812585426563556,0.46561102264405774,0.18668381230926123,0.10116739866459643,0.6363938233472515,0.16093999884339638,0.4447403255396218,0.1715860879825088,0.10684313190542306,0.640721277708469,0.16114268179655888,0.42753826195269284,0.15892593647676992,0.10916421802299521,0.6284385781306026,0.1662707919242676,0.4975831187865294,0.19980681340439574,0.09900636409565484
"(3, 15, 100)",0.6336354288774141,0.16332272192131522,0.4662589961371273,0.1874194721240449,0.10182985347720175,0.6389109075620252,0.15825952925272194,0.4360110077912804,0.17304175287169243,0.10764967189885676,0.6435300358055125,0.1501426957251999,0.4325377422878168,0.1598593304649467,0.10978810800467746,0.6301404674097002,0.17120135299555675,0.4786711262622918,0.20072030282896347,0.09948115171336827
"(3, 15, 120)",0.6332110653795121,0.17130570542374463,0.45072723664146414,0.1864415235100988,0.10039251569327597,0.6381233555484014,0.16169605737587303,0.4370363794898312,0.1716902114345309,0.10661493253030957,0.6425816239901325,0.15985433636616106,0.41756605484327797,0.1592162925355406,0.1088760228547681,0.6298116940740922,0.1730072666944199,0.4897182768621899,0.19933052043775348,0.09858030881816113
"(3, 15, 150)",0.6327484051393462,0.1672710768815559,0.46052277851078777,0.1869580333723371,0.10073849563701172,0.6370139066022034,0.15511829436070665,0.43005456246547213,0.17144277318320297,0.10631284279189694,0.6411538676207049,0.15529467939500716,0.42235395106026885,0.15870717919905353,0.10899677945996086,0.629542292612092,0.17567546896065508,0.4740435396009184,0.19991658949253605,0.0983256880872528
