hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(5, 3)",0.633543455687624,0.2121844469185053,0.26549035835777035,0.23586307767585799,0.09283628758593448,0.6394096445512133,0.21553631323106973,0.2458592291512812,0.22970136014528997,0.09890656950436785,0.6452615679964576,0.22297585904348582,0.22990100522677154,0.226385484354569,0.10378701061946287,0.6294980611925942,0.20610391601054454,0.27975846255502673,0.23734834065526927,0.08784843626644767
"(5, 4)",0.669202859887189,0.2542111137212827,0.3155727355240482,0.28158782199212173,0.08831831949811766,0.6726204339232615,0.26312946850380836,0.27664720134414694,0.26971907130871775,0.09632909463304233,0.6800435280562623,0.26692484502183156,0.2644174967492329,0.2656652549299741,0.10160037492772657,0.6636667282564341,0.2511853553378504,0.33518639513087894,0.28716906535166703,0.08284780899003841
"(5, 5)",0.69813648969015,0.2870585861327572,0.34446268186140433,0.3131516718184276,0.09497777295745757,0.7028173918379311,0.2899249601048225,0.31159457263617013,0.30036944479181127,0.10719759073910227,0.7117338500310783,0.30249838126275597,0.28799599663380104,0.295069101596562,0.11214722075008422,0.6914657646037664,0.2805406247340008,0.36779376819023374,0.3182959121942444,0.08959915744708297
"(5, 7)",0.7237333344872546,0.33371853124695017,0.39545535666701526,0.361973413991002,0.09016875308292689,0.7313158973178369,0.3351564797493779,0.36037178227347794,0.3473070600941853,0.10193858719383525,0.7416400073993248,0.34474183462546465,0.33373312370061636,0.3391481673065456,0.10699805081101689,0.716337620753563,0.3339093704569054,0.424350499900616,0.3737362712023212,0.08459217649554183
"(5, 10)",0.7427473105823378,0.36985797004691967,0.4699637526442962,0.41394461432039387,0.08790284379425022,0.7524425965896807,0.3682601157020315,0.4257476005394549,0.3949227631607492,0.10083842672426331,0.7650266201773166,0.37171497168258805,0.3972856714926242,0.3840751849543809,0.105570573339744,0.7339698850790433,0.3708441627941588,0.49529107890847357,0.42412731096396,0.08309987544199637
"(7, 3)",0.6514277291481004,0.2272732537015194,0.27810557204934006,0.25013298939965867,0.09416404210420727,0.6544431183327553,0.24272795823261376,0.25353352175818666,0.2480131001947982,0.10172596720792175,0.6610767563102726,0.24418073697583698,0.2385737653128945,0.24134468994495695,0.10704820771668559,0.6466778759249464,0.22644267823390196,0.2927422644641586,0.2553592638994263,0.08883386545249913
"(7, 4)",0.6912152085017921,0.281693669604756,0.31774674347932813,0.2986360085905578,0.10098425756567096,0.6934153556252111,0.292256099217194,0.2886872342773036,0.29046070457914663,0.11324461035585105,0.7010453066293789,0.2956156770630684,0.26787407480917064,0.2810619917371998,0.11830824281763856,0.6854632663609975,0.2796171956797874,0.34116396654352216,0.30733958243912224,0.09550254051070416
"(7, 5)",0.7136756858045418,0.3116040811433001,0.34394941992350003,0.32697878290825333,0.09654274927221626,0.7169674715335013,0.3085755790357614,0.32331486267726295,0.31577331884002047,0.10980808397777496,0.7258877802894055,0.32061579926616546,0.30039669541521874,0.31017709763433626,0.11566854163434939,0.7070675081704083,0.3036793877336017,0.37067191082328027,0.3338480082109992,0.09009203964051052
"(7, 7)",0.7368545428286893,0.35118040267085804,0.4053026264767139,0.37630544000447813,0.09062444048676187,0.7439744427926887,0.3527217055852606,0.37210053164431317,0.3621520627524403,0.10487057518859975,0.754280816670151,0.36367518912519764,0.3494535506341224,0.3564225616828406,0.11044592889847947,0.7295654251312482,0.3495144902486438,0.432178784558636,0.386475750654324,0.08505969985561904
"(7, 10)",0.7544095712696138,0.3938249117261172,0.4698515219635649,0.4284920299867002,0.09002554888083629,0.7639768893809897,0.3795590897743685,0.4314594096004803,0.40384859509068644,0.10242067892630853,0.7764804090878522,0.389174131921373,0.4013560540874794,0.3951712324344647,0.10737510238484169,0.7457542873241202,0.38907232940685427,0.5025946230535131,0.4386069489268905,0.08459275784905677
"(10, 3)",0.669471194736957,0.2536358304324127,0.28895699149024934,0.27014676027663076,0.09413090425054176,0.670933351917606,0.25584149313001997,0.2718458499996287,0.26360097156249845,0.10482414054333931,0.6777698245374608,0.2686414191753601,0.24738531443028672,0.2575755774796071,0.11037708696241065,0.6644344147013429,0.24513979584501405,0.311477758295415,0.27435568106260955,0.08829565861450042
"(10, 4)",0.7067509341638545,0.3029973030114007,0.32545154392174186,0.3138232826757813,0.10237852215205259,0.7076068930029883,0.3064780222896816,0.29728957435394215,0.30181388104243384,0.11603611988979724,0.7152979034823778,0.313169177257429,0.27791456582224977,0.29449050813998534,0.12203039862560454,0.7010094528753869,0.296874671011174,0.3470985879005739,0.3200281305641839,0.09630194289264117
"(10, 5)",0.7246848764338235,0.33382295200424883,0.3498805807394999,0.3416631996698973,0.09849911907397242,0.727353534414585,0.32830491486942465,0.326994199659918,0.3276482464324709,0.11242963064796258,0.7359750157920711,0.33741115873648975,0.31196078323280846,0.32418724169607366,0.11898889482662221,0.7184233320905874,0.32018644166947363,0.3753426538355843,0.345577574008243,0.09232307056534836
"(10, 7)",0.7469296891316971,0.36759054132905244,0.41175923309952944,0.3884232840210099,0.09307464363981383,0.7535386104172368,0.36591049522113417,0.37834513578917756,0.3720239397132814,0.10656598153897508,0.7638403414356648,0.3707998662128242,0.35903735363257566,0.36482382392217927,0.11335110226298034,0.7396625104632967,0.36912765015327215,0.43101538343230356,0.3976781375033043,0.08712079400648967
"(10, 10)",0.7634079811089568,0.4006723876752291,0.4786363896095806,0.4361980455723466,0.09066955050605996,0.7730920473828715,0.391122649858207,0.4419244273199148,0.41497451413175707,0.10236238886909249,0.7856455816226738,0.40105385091531154,0.413291861142512,0.4070808994482462,0.10805490971124601,0.7547412147515765,0.39712495607115106,0.5106468880279353,0.4467876466849935,0.08436124104316008
"(15, 3)",0.6866690361750064,0.27148202523519654,0.2917415758794348,0.2812474253859857,0.09719664042942572,0.6874365143111982,0.2729193998741305,0.27696825076669923,0.27492891937232605,0.10985327299785025,0.694111200879727,0.2783671654755652,0.260340163941022,0.2690520419471198,0.11580980773115913,0.6818374150271644,0.2654021910151172,0.3130752212518093,0.28727430980289415,0.09188385451716702
"(15, 4)",0.7189958954103389,0.31298896767661766,0.33415676318967374,0.32322667172011393,0.1037216596442,0.7191949197243342,0.3230308310649638,0.303493451009435,0.31295751659537374,0.11919314031838003,0.7267314523212901,0.33928930746654695,0.28502003003602516,0.30979593863472843,0.12636355174769176,0.7134467202568796,0.31165275147219623,0.35174364463630503,0.3304867958487787,0.09810534298835473
"(15, 5)",0.7346180578637928,0.3464952678625335,0.36104226209719176,0.35361922164660986,0.10002028918204768,0.737501618356058,0.3470468556757201,0.33481776194754587,0.34082264574249344,0.11514493087186367,0.7456949748676523,0.35945304757690055,0.3163506968407395,0.33652735138503853,0.12239182207292329,0.7287757636508069,0.33845267842820137,0.382824794683535,0.3592738771401965,0.09384363890964437
"(15, 7)",0.754436719804148,0.3848606550975688,0.41738740364954074,0.4004646389519591,0.09413132068981503,0.7611682044219304,0.3737839436483572,0.3865044469400385,0.3800377809348595,0.10794223242108066,0.7713434574573053,0.38839018499342143,0.36438577099688274,0.37600525330347456,0.1155503303634862,0.7473576980861506,0.37637894669633565,0.4406646029075158,0.40599275073919017,0.08768418527274865
"(15, 10)",0.7701806374566759,0.41274977357411763,0.48276755525021137,0.4450214255039697,0.09125164749608325,0.7803939608719389,0.4082983545163335,0.4470292685227471,0.4267869056069017,0.10391556761748157,0.7928358764565916,0.41191969660280037,0.4235372225788414,0.4176476852823526,0.11117044789637276,0.7617022630955378,0.4099457726544656,0.5123717771569858,0.45547142438285265,0.08396206348765123
"(20, 3)",0.6966499587437822,0.2853586216312377,0.3047049537705658,0.2947146349542758,0.10036180849057619,0.69613574062133,0.28911309697558113,0.27796088867657015,0.28342733187081115,0.11532548177551179,0.7026231297796484,0.2996831037740322,0.2638941529877885,0.28065227219991434,0.12190068279906306,0.6919948204805039,0.2754261956072899,0.3228744800652417,0.2972688927790026,0.09455223629151073
"(20, 4)",0.7255295002450316,0.32724353572505493,0.33139504777793843,0.32930620790494036,0.10480681613996745,0.7252435996058586,0.3306448652358947,0.3092380843665663,0.31958340129147994,0.12219646867276317,0.7326290137760688,0.339156864998713,0.2959276046580117,0.31607095892815473,0.1297292493624374,0.7201502332917042,0.3220223721615245,0.35035036654479285,0.3355896205413891,0.0990484361142056
"(20, 5)",0.7391791006184213,0.357667726845163,0.3616041717454923,0.35962517757014023,0.100049427303704,0.7416526061060931,0.35032172490843505,0.34376380793858446,0.34701178589377085,0.11663791333995767,0.7498401812199214,0.36601567780075106,0.32263348480783455,0.34295812740362613,0.12436290474647811,0.733420503832242,0.3415092519150403,0.392323839623268,0.3651572067902153,0.09409808119423713
"(20, 7)",0.7580418274693866,0.39121746719946454,0.4223448823342813,0.40618569737443305,0.09377503051289696,0.764818415668882,0.38967879326099064,0.3853108184914647,0.38748249654762645,0.10796378937094407,0.7749625065229706,0.3986595001937669,0.3686742039205269,0.38308098049450534,0.11599630995233415,0.7510648825984797,0.38203101980757137,0.44081461073356654,0.40932308329539746,0.08727637368169275
"(20, 10)",0.7735508414859115,0.41831023786034394,0.48343934205738975,0.4485228064880807,0.09049837230076391,0.7840170197971115,0.41790676973708196,0.4440769578723422,0.43059459485107743,0.1043820403883584,0.7963979553378426,0.4194197630575505,0.4234651253544171,0.4214327365007337,0.1118942222873455,0.7651240630613678,0.41527225898490056,0.513479760243042,0.4591837122602679,0.08357130555202727
