hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(32, 20, 3, 3, 1)",0.6206243377036144,0.07094831118624514,0.39952628686716285,0.10211981377465623,0.06353623712010535,0.6116861075019403,0.058128513553097644,0.38998499400445696,0.09017272751370521,0.06433770231309303,0.6118093036868517,0.05260684064522672,0.3740387026428426,0.07848211991819526,0.0617418809964911,0.6216272683808473,0.07297518780180787,0.43148727168395007,0.11340835744777038,0.0633878150406368
"(32, 20, 3, 3, 2)",0.6297150931664641,0.06725835231603962,0.4421260966811849,0.09788770576666,0.05389630746900801,0.6212525371254974,0.05618466774477805,0.4663566477556949,0.0878031552332902,0.05700233007003678,0.6212147039555503,0.053273894459930575,0.4283152356273625,0.07680175991019637,0.053877212574088326,0.6305618844285358,0.06868227621802192,0.47228408899729674,0.10891592219214281,0.05437769011318946
"(32, 20, 3, 3, 3)",0.6276025921404124,0.06436826352254053,0.47623053895926476,0.09686158887087264,0.053926090701137255,0.6207957236601139,0.05873271949688857,0.48831187961289235,0.08808932950499669,0.057729703671056884,0.6218148146403771,0.05841920311812622,0.4503513712103326,0.07739934113591272,0.05457270602830491,0.6276726853449676,0.06766899379770695,0.4987300066526792,0.10746370624967815,0.05497551214062431
"(32, 20, 3, 3, 4)",0.6199561067920939,0.06445279412579603,0.5002547284505511,0.09572149319632203,0.05500752707265443,0.6141135862270075,0.06467433449837441,0.5019827170439374,0.08750944600032154,0.058328638185162165,0.6152154910962847,0.05930201144573926,0.49147288108899806,0.07736238528324318,0.05570281198117642,0.6198606845845137,0.06793986155137328,0.5328877644160308,0.1060912765333497,0.05581031673061314
"(32, 20, 3, 5, 1)",0.620344509209257,0.0692024388295111,0.40364055768989776,0.10080099403338291,0.055802023181221315,0.6113159060641381,0.057880207184548976,0.40935655592501197,0.08904162425775085,0.05704582230052814,0.6109464360576681,0.05202904231858213,0.39669968256426796,0.07731872256301073,0.054062007036905425,0.6216251925811987,0.07150886538987777,0.4231261301541924,0.11204329743379403,0.05575647896855322
"(32, 20, 3, 5, 2)",0.6318373957402259,0.06545161882903174,0.4726667624411432,0.09875828976772205,0.05342336309626883,0.6236504015331251,0.060649599014839496,0.46893354251332336,0.08859342495563624,0.05704493438367961,0.6234065996601773,0.05482637582857996,0.4534671405995724,0.07739721570271474,0.0539568666995072,0.6328903033108182,0.06833100885903935,0.4843564344918447,0.10987595875789201,0.053940184586496985
"(32, 20, 3, 5, 3)",0.6254090088450424,0.06361349875227809,0.4992030017241849,0.09708251003186094,0.06006681247759107,0.6196798264322934,0.059590473243072616,0.4833950267978518,0.08836050090493151,0.06314971949654173,0.6200561125764581,0.053330121263969084,0.4721305755505006,0.07774310516108651,0.0605020675742853,0.6260040547332394,0.06800267234486265,0.5077999512470089,0.10776465613073923,0.06072242207409235
"(32, 20, 3, 5, 4)",0.6244152198065739,0.06187064925128967,0.5184397184040463,0.09573023845980932,0.056010392079195406,0.6195015985638187,0.06270328259215305,0.5205221337929137,0.08745752679373303,0.05940068062549252,0.6211223807738537,0.05895393116285546,0.49184158346585255,0.07711538581222087,0.056519643323738995,0.6240276810296491,0.06641469152776179,0.5366561533891662,0.1062662267312842,0.05692183142001979
"(32, 20, 3, 10, 1)",0.6015090005745143,0.06594180188869311,0.4411176758679068,0.09743007547884688,0.05487275945111611,0.5926484232189603,0.05502723997293556,0.42502838385844277,0.086313545225488,0.056199935664518474,0.5938775775786866,0.04854622749045069,0.41800378515854925,0.07452212039767094,0.052736136312941495,0.6011413394135586,0.06950683921228143,0.45738249521011864,0.10870779550320675,0.055300449992949086
"(32, 20, 3, 10, 2)",0.6168461624785462,0.06570620817775664,0.46225998761832987,0.0972171458212615,0.05827506604350381,0.6099756015168522,0.05866821708182388,0.4533474226264659,0.08738735424860754,0.06070899543329472,0.6103177591407853,0.053020724826682596,0.4312866189936115,0.07649256464232371,0.05798125916822825,0.6172105893831218,0.06738986846016978,0.4797173907476336,0.10822139051335324,0.05875747044721998
"(32, 20, 3, 10, 3)",0.6057017047664327,0.06311356376732988,0.48317586658633405,0.09336232457470486,0.05355891588367533,0.6004314638703614,0.058492912230133816,0.5094889491567965,0.08502407503090956,0.0571133237479661,0.6025711104927404,0.052814756340902935,0.47087290970091517,0.07416220039886144,0.0536065860823704,0.6046970030376676,0.06666568957907164,0.520264752907199,0.10430108108324072,0.05481547522813099
"(32, 20, 3, 10, 4)",0.6016764880273037,0.062211158006958596,0.4793220949604314,0.09388235003679875,0.05569968188696924,0.5947130289273971,0.06248072513305034,0.5073132603842262,0.08590749584214231,0.05914633643308728,0.5984229079929081,0.06338009357231765,0.4801737618905443,0.07583701649111624,0.05616796126802246,0.5992037801976043,0.06716041472676779,0.515236391600916,0.10414136591626408,0.05696567921278393
"(32, 20, 5, 3, 1)",0.6205917548259098,0.06989141796663681,0.392538715625467,0.10116608884578945,0.05950901968971601,0.6112586553138504,0.05848901209870606,0.3904716282025787,0.08971743366953266,0.06028844731516603,0.6116291458890907,0.052150518162301464,0.372672417046607,0.07783421226217364,0.05755328495112168,0.621374052199617,0.07205607355469514,0.42136943267633714,0.11261659127790104,0.05931777842421688
