hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"('linear', 0.4, 0.001, True, 3)",0.5097732426363355,0.15837790441908844,0.5611902670863125,0.1555956931452939,0.08109558959646039,0.5111515738159557,0.17690919596882831,0.5023541993565702,0.14408969721159923,0.08558696114285297,0.5109196847160916,0.17419257673452956,0.4867722317089763,0.13223991753574524,0.08419827184829806,0.5102745942577149,0.14687323646037206,0.5959303261704765,0.16844428841014564,0.08161533198190077
"('linear', 0.4, 0.001, True, 4)",0.5066025815037738,0.1327838052446854,0.6124805758157585,0.16928796580907868,0.0951700667770221,0.5004830187428433,0.1407950828608506,0.5901740980320707,0.15055742002581365,0.09608894183807257,0.5031245111631034,0.1418853523795915,0.5137312465597631,0.1358003688163969,0.0972964507267636,0.5038519115995913,0.13539942778255434,0.6989888574434744,0.1845981303279197,0.09109886092124125
"('linear', 0.4, 0.001, True, 5)",0.516143331161124,0.1321877031702671,0.6385789059664834,0.1858627670835512,0.10107616884794624,0.5157625669845378,0.12126952613899572,0.6217660218079136,0.16299144621164072,0.09796706756033839,0.5163533260446868,0.12294312847709879,0.5591064053988316,0.14485220831811485,0.09921105846718783,0.5156082698628287,0.13998630151555042,0.6894747182532683,0.20435534987887158,0.09616536183035326
"('linear', 0.4, 0.001, True, 7)",0.490545164338129,0.14141198012523495,0.7464970586481231,0.2083309001343248,0.09032419493716938,0.48370101255411185,0.12406326705115855,0.7048757994686512,0.1767409254632545,0.08969728684463177,0.48600431743012834,0.12119006840238233,0.6423656818012708,0.1540269023152085,0.08076389080395245,0.4887572210134399,0.14837396406079745,0.8063097818261249,0.2315692699031814,0.08924382846660348
"('linear', 0.4, 0.001, True, 10)",0.5044795662897512,0.17360391299220565,0.7700790527144388,0.25455409829920744,0.10025109015448523,0.505382027323064,0.15333638436360958,0.7279486024594607,0.21438001511313706,0.09828175023899613,0.5054755628134461,0.14243805762399175,0.676552011645313,0.1853952945476381,0.08798791914407925,0.504528365393121,0.18878878357777892,0.8293534301401547,0.28320766022099325,0.09628875496587322
"('linear', 0.5, 0.001, True, 3)",0.48203525015270515,0.1403634840752383,0.6149689340466452,0.14380870918624128,0.07393906201685184,0.4836801675455118,0.17310784514975927,0.5545719917534093,0.13558436516463834,0.078582307462197,0.4824158108125796,0.1647301974001056,0.5265886515723984,0.12104843652222262,0.07589605573711189,0.48267065802232423,0.13844119030165922,0.6512703491297663,0.1590511341862772,0.07481264306718693
"('linear', 0.5, 0.001, True, 4)",0.4981656499097992,0.12293553597018805,0.6595657493164381,0.16484446719329765,0.08076123617441376,0.5011213621953567,0.14818637078605607,0.6051176951214483,0.14727562193472424,0.07909114890743649,0.5001281507711823,0.14210039903614738,0.5590621104659265,0.13265081420425562,0.07618964343840463,0.4993218404060307,0.12940334429540626,0.7013361261001311,0.18013714940646158,0.08022727594225232
"('linear', 0.5, 0.001, True, 5)",0.5237485776399784,0.13474443076414688,0.6549050378959744,0.18852546045865892,0.08498082274886651,0.5234358584274597,0.1511526449766997,0.5897516879717956,0.1656387907524682,0.08491992226637582,0.523178365490192,0.1406581667920141,0.556212601271606,0.14647043143928754,0.0801380174305808,0.5239702618658427,0.1448352902965296,0.6986737003917057,0.20826749385067522,0.08333818462822218
"('linear', 0.5, 0.001, True, 7)",0.5157874532960506,0.14429594078351637,0.7033685373506037,0.2141420356111141,0.08418870904907663,0.5167417976522524,0.12678699255429268,0.6310834673920208,0.18346963246091808,0.08634605994833967,0.5157310336466562,0.11906626261530669,0.5641164952939353,0.16015300407106572,0.07709027486563343,0.5166795517534355,0.15448023295841593,0.7512377763846839,0.23808312357738343,0.0830340456479389
"('linear', 0.5, 0.001, True, 10)",0.52009720479058,0.17181370277190083,0.7711062353394589,0.2579126831573932,0.1078311750200103,0.5176802590160758,0.1552595086886536,0.6920222411138068,0.21858367511567567,0.1066821963402805,0.5184986024693475,0.14190393016913846,0.6328142121038569,0.18984231277997002,0.09995893246524905,0.5197586994444714,0.18730702204042013,0.8132498136309444,0.2863064741052161,0.10198004063703006
"('linear', 0.6, 0.001, True, 3)",0.48213712857815455,0.13429442157151605,0.6435840771518564,0.14705206536044782,0.09688941956827075,0.48137886859966195,0.1522509594985119,0.5913300652761958,0.13233910999361714,0.1011063300456252,0.4818359093709851,0.15179561390598345,0.5233144172611903,0.11945955439142888,0.10094640573845573,0.48190443323204357,0.13747158571489826,0.6639887589742149,0.16024280162607207,0.0953906817341323
"('linear', 0.6, 0.001, True, 4)",0.5127315237208208,0.1388421555363325,0.6602281536757897,0.16967375188510786,0.09547859206435569,0.5088304745709501,0.1264738044086077,0.6057011254563799,0.1493715196946182,0.09482855573085808,0.5105923219326587,0.12369156667127541,0.5843414200155945,0.13372465604896872,0.09554101172380701,0.5109577919759971,0.1473602259760426,0.6853414044303889,0.18551806153559838,0.09170983188595228
