hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"([3, 2],)",0.4836306879262042,0.15111085170338528,0.6263409886218263,0.15566733714389291,0.10813628867818806,0.4933679661064675,0.16364992120609126,0.5380092238376092,0.14648661207680394,0.11661590571048737,0.49859477384102413,0.16913202045472622,0.501701198181433,0.1365126604435666,0.1207980513301795,0.4786075620436695,0.15346043968119538,0.6426726587500345,0.1667813318879958,0.10511258710170283
"([3, 1],)",0.4714582489598959,0.1441049493920542,0.7532347562032591,0.14487386004698163,0.1005852984930482,0.47919409784166467,0.17487222174718528,0.7174956270111824,0.13572453776187424,0.11090697866117766,0.4843295521815276,0.17877360806742704,0.6920165884822236,0.12333683609395635,0.11447349720859595,0.46693029379568857,0.13663773704835458,0.7768263540557506,0.15849550567276988,0.09704333823793798
"([4, 2],)",0.48262253544996814,0.15820776558116645,0.6528520489563906,0.17194565059630496,0.10482882272434416,0.4933947136196202,0.16681714699030314,0.5649934402346285,0.15863549398487786,0.11342729508231418,0.4989350285674026,0.16497372312618733,0.5564343272968432,0.14541170987932553,0.11757902348539628,0.47743556787471214,0.1619945269772845,0.6701492931707397,0.18558454427326368,0.10128511453714252
"([4, 3],)",0.4819556573229291,0.16042937757847964,0.65270854352119,0.17188122839512004,0.10509761515788142,0.4924414437748625,0.17138793250214324,0.5687906515948647,0.15829102752885685,0.11332046724974404,0.49847951991587547,0.16774740414446057,0.555943819530888,0.1453294475006926,0.1176735556700951,0.4763134492489949,0.16427379045772056,0.6692911218672296,0.18540715437240884,0.1013750535863209
"([5, 3],)",0.4795292523032837,0.1571177041073383,0.6838733682879874,0.186462442561078,0.10333634303468864,0.49052034745549894,0.18026263271473375,0.5880005735085461,0.16968645869341392,0.11124257630873957,0.4971119822819761,0.17127761566260405,0.5904397155585819,0.15439456108025804,0.11509085960935121,0.47349228421912615,0.16290288926868207,0.7110030425819904,0.20228066489274224,0.09904946578818806
"([5, 4],)",0.47963277101771834,0.15546870446042105,0.6879850492174975,0.18653316372686843,0.10316881515881483,0.4906072927735906,0.1712270869977491,0.5947392101235024,0.16982925424734555,0.11102219429677268,0.49730166395062153,0.16657941620458575,0.588719367053817,0.15445802377431003,0.11503081437654994,0.473509887532361,0.16163739694226403,0.7159709368099081,0.20235865814833368,0.09889439159741141
"([5, 2],)",0.4797377661877838,0.15639212948406753,0.6770305901766988,0.186494953718886,0.10317266987767158,0.4905236161720187,0.17005867925684304,0.599643703457888,0.16974338906592545,0.11159297950324552,0.4966914084828719,0.1645577461457828,0.5987701750107728,0.15419891340847122,0.11508814132061788,0.47404361971508185,0.16155565415579382,0.7063550405601708,0.20257738648814674,0.09912198920149669
"([7, 4],)",0.47440960397817755,0.1653428879255138,0.7359120954634903,0.21530429881708585,0.10239980235314547,0.4858054851587953,0.18354478314859804,0.6344224604991449,0.19073483449030296,0.10975906212557246,0.4932161344937268,0.17301015610338644,0.6186127812110361,0.17166394624665984,0.11162759574571733,0.46776222330006967,0.18004810450829187,0.7682275768052982,0.23478073887335654,0.09761442072590358
"([7, 3],)",0.47418908355500733,0.16263975137455203,0.7347893580857012,0.21507875319943354,0.1024958607718228,0.4854684099122813,0.18408400976512845,0.6255116453128103,0.19080463140168494,0.10977228209118493,0.49280249425836054,0.16653384849505082,0.6182662264789879,0.1716248396046556,0.11159210621647726,0.4675946190069196,0.17597156438242925,0.7708017284778554,0.23457962516190908,0.09767628165221295
"([7, 2],)",0.4746688776379397,0.16594929305542236,0.7306617258281997,0.21435082468042932,0.10281600941124422,0.4871028456470064,0.18564277646902974,0.64007278590215,0.1907264235562718,0.10992856785746691,0.4938573354102851,0.17127619144913112,0.6217816510000563,0.171400919140735,0.11162570148937465,0.4686838402886871,0.17845186057207268,0.7701487272847438,0.2341362855536014,0.09802870308858654
"([10, 7],)",0.4668005297271609,0.18597032199328364,0.785631606521658,0.2542789278597556,0.10584570772143115,0.47872558673551835,0.18504708000522457,0.7089052997969216,0.21964382826058648,0.11128487084950188,0.48670163174374126,0.1817487164603461,0.6540351693554237,0.19646165276944555,0.11070844636981707,0.45965812847282583,0.19438860140268846,0.8445479742654559,0.27801486455991953,0.10012243346567683
"([10, 5],)",0.4666686113779329,0.1852970468212917,0.7888205321931913,0.2541700503141373,0.10591173956527195,0.47857340162137924,0.18249513610629603,0.7140183954734446,0.21957765855359243,0.11127668592431202,0.48653980164674876,0.18143498111522172,0.6563453328498831,0.1962910409955613,0.11069539155370091,0.45953398725807393,0.19661890658969472,0.8394724695178358,0.2778634522716142,0.10017856844130638
"([10, 3],)",0.4659536933595547,0.18745052363106585,0.7934039640926706,0.2539948688757485,0.10608507873130446,0.4777400340466043,0.18078878679068666,0.7112937032877971,0.21915158706530022,0.11125677596270525,0.4856510110602609,0.1807441337022406,0.6530032227020834,0.19608948926288758,0.11057857867299682,0.45885760290421485,0.19454809623112054,0.8406523129451466,0.27751117505896233,0.10045605662521541
"([10, 2],)",0.4650353712067563,0.18694586968156895,0.7943166063152559,0.25298310000870433,0.10601451341209205,0.47800800187892495,0.18367972787851855,0.7234436095948932,0.21877886446292577,0.1114680872188957,0.4854625069075964,0.17606313478291452,0.6693611675285022,0.19555501804220884,0.11071036132812014,0.4584833575612968,0.19435488719574778,0.8465884093967811,0.27677186681348254,0.10061107918617744
