hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"(0.05, 20, 3, 0.1, [10, 10], 1)",0.6292248170798206,0.146617481700012,0.3092911826201066,0.19893236455772892,0.08360888070986683,0.6310218594899875,0.1420794687665152,0.3254846941878616,0.19781110746229463,0.0942825368374674,0.6370982463094178,0.14884377592013587,0.28176628283155497,0.19478949277315233,0.09903816328701395,0.623738045448158,0.14263802171648524,0.3622665318951518,0.20468415693221229,0.0796300487350882
"(0.05, 20, 3, 0.1, [10, 10, 10], 1)",0.6294440931141427,0.14072372939278432,0.32545054212219104,0.19648709428558386,0.0832540541912051,0.6313618442896188,0.13974552567632656,0.33410057653787456,0.19706423870062084,0.09378408513587196,0.6375360132659346,0.1461097327341067,0.28677768475823645,0.19358849059119615,0.09864189169150886,0.6238649082775243,0.13704112252032288,0.36853720535981505,0.19979002076602237,0.07929733325475244
"(0.05, 20, 3, 0.1, [10, 10, 10, 10], 1)",0.6294096488770073,0.14906188019170818,0.3189383870477777,0.20316892517638008,0.08311525942332544,0.6310471755953084,0.14142970989861878,0.33647959265264016,0.19915164204431515,0.09377018444619553,0.6372990859614427,0.14916766103404702,0.2885249859393724,0.19666127635482608,0.0984915618949071,0.6237151765442659,0.13618322200481178,0.3616396067594518,0.197858531218047,0.07930130770012801
"(0.05, 20, 5, 0.1, [10, 10], 1)",0.6319931727762275,0.13577333280697973,0.31223043571506587,0.1892509386725119,0.08195631887011703,0.6341013469255072,0.12502206125355225,0.32671841868955814,0.18084281558833828,0.09204462824590161,0.6398008142089395,0.13347950496030914,0.28547002005474503,0.18190447623277617,0.09618909942905071,0.6268074674507673,0.12744147537662404,0.3631535145530175,0.1886722067401471,0.07879422604344295
"(0.05, 20, 5, 0.1, [10, 10, 10], 1)",0.6319678125135129,0.13440657186646257,0.3041619311165777,0.18643090954136868,0.08226764963704908,0.6339822638866871,0.129604066020636,0.323841446695163,0.18512110964037254,0.09232146760927802,0.6399412971335793,0.1344407427124721,0.2868891605919658,0.18308499597889952,0.09669316957967056,0.6266087400425423,0.12887019482607348,0.35116207030091184,0.1885470111190733,0.07895614255422578
"(0.05, 20, 5, 0.1, [10, 10, 10, 10], 1)",0.6318029527808455,0.1353328619397306,0.309135503185755,0.18825273362928957,0.08207607209672181,0.6335103221887458,0.12774618683589298,0.3229750646852608,0.18307915509806635,0.09226167302319484,0.6392740693277992,0.1354013818548923,0.28154150617576246,0.18286009945277285,0.09644448889245995,0.6265320598346323,0.12993341926817434,0.36200136777257313,0.19122890567424042,0.07885682630772164
"(0.05, 20, 7, 0.1, [10, 10], 1)",0.6328109775681885,0.12145299757418729,0.3182695171576017,0.17581445388966557,0.08260038966812001,0.6351840162184762,0.12448025792967504,0.30164748570576605,0.17623427427722524,0.0899569144044487,0.6404874125885104,0.12406115388972055,0.2674132454054435,0.16949049976256853,0.09411320668526402,0.6279201778885153,0.1218703182353745,0.3581892916228593,0.18186342721676696,0.07960823817055494
"(0.05, 20, 7, 0.1, [10, 10, 10], 1)",0.6329915995244515,0.1225725819189304,0.31287681801031225,0.17614041683068063,0.08453192777682075,0.6361441265020528,0.12484848237671511,0.3079774380822332,0.17767196433182394,0.0919996597613957,0.6414838600250906,0.1279567996105669,0.2742011430119322,0.17448816492629077,0.09646931182941404,0.6282275756095274,0.12218636674300776,0.34111008942476617,0.17992368355652347,0.08109919271179525
"(0.05, 20, 7, 0.1, [10, 10, 10, 10], 1)",0.6333651363448557,0.12363268680069917,0.314118203824784,0.17743094688569414,0.08356141401057599,0.6359718511346529,0.12540101953879185,0.3131104330711338,0.17908023747913435,0.0913038887781696,0.6416376169281099,0.1273129279873355,0.28070611562119074,0.17517573281689117,0.09565803845078158,0.6282851160620164,0.122066343195694,0.34251015634780385,0.1799874179337274,0.08049891964896083
"(0.05, 20, 10, 0.1, [10, 10], 1)",0.6277774930143243,0.11777941073266106,0.30916798795172984,0.17057662630367712,0.08121972280772448,0.6327506066395407,0.1186165304930263,0.2988215509753541,0.16982243444852724,0.08827087115678063,0.6368285413666128,0.11956173207886091,0.2713195853137081,0.16598101839922788,0.09082586159870167,0.6239664585673748,0.11463629288955239,0.34192466090190954,0.17170533418508555,0.0791247492011921
"(0.05, 20, 10, 0.1, [10, 10, 10], 1)",0.6299169556537375,0.11539863518979954,0.3285590540547884,0.170805765214647,0.07926449650496116,0.6342842244925041,0.12122063702717265,0.28916623820551624,0.17082863862129538,0.08793163076364055,0.6387216093712622,0.12163931187701947,0.26936777066101303,0.16759650517003288,0.09069108114153798,0.6258732817046433,0.11695425845459899,0.34861964850533506,0.1751496459063939,0.07767548297761451
"(0.05, 20, 10, 0.1, [10, 10, 10, 10], 1)",0.6308243780215258,0.12025688029280088,0.3194542546278403,0.17473549795248883,0.08111520235970203,0.6348196151007154,0.11820516325385057,0.3195090984345281,0.1725674872729272,0.08956571260073941,0.6394295135789012,0.11899441367233457,0.28459827214264893,0.16782070496341364,0.09179811587424874,0.626600733477192,0.11924583736489322,0.35596091408974273,0.17864585105271275,0.07959023571477117
