hyp,auc_1,pre_1,rec_1,f_1,f_1_std,auc_2,pre_2,rec_2,f_2,f_2_std,auc_3,pre_3,rec_3,f_3,f_3_std,auc_4,pre_4,rec_4,f_4,f_4_std
"([3, [2, 1], [2]],)",0.48490525928126693,0.15188129170361664,0.6496736580366006,0.15553203631600176,0.10785944819946813,0.4951464855654921,0.15585228498556608,0.5563343388905372,0.14644548298474094,0.11689893447482341,0.5006949677009195,0.16340034499119405,0.50673210493942,0.1359743934107729,0.12146934627796914,0.47965781432115256,0.15315030316011355,0.6798330655380355,0.16706509262028588,0.10502077546280587
"([3, [2], [2]],)",0.4827791574388488,0.15257544127878322,0.6702229007619103,0.15359176874449984,0.10784490037073836,0.49266414622037913,0.15667269345797158,0.5551658275602293,0.14513726666654167,0.11670460964365215,0.4980772903217344,0.16653568744680625,0.5061604273830527,0.13471362430030945,0.12139431043822112,0.477575642169596,0.15392081478818992,0.6948605375331549,0.16521627940227854,0.10490103276951315
"([4, [3, 2], [3]],)",0.4809392891319825,0.1600319153019904,0.6649572023521366,0.17139573624243173,0.10513502271422616,0.49209505416635424,0.16475790698283485,0.5898513434135457,0.15802912411615916,0.11312233624112376,0.4981686262595823,0.16578504482381093,0.5495084589261684,0.14505288412060688,0.11772193326971286,0.4753282721781047,0.16011134617507297,0.711935983575655,0.1850595458131321,0.10118776224466966
"([4, [3, 3], [3]],)",0.48053458780482206,0.16515151708036152,0.6650708223078898,0.17054868813557253,0.10443119434229578,0.48954896664229147,0.16582689145986554,0.6147020762426574,0.1570560245996016,0.11351046785806383,0.49566644139910193,0.16334197264860784,0.5669168612836663,0.14394853162187762,0.11849948163076059,0.4747185865024272,0.16497472107375782,0.7208453913432344,0.18455215633002164,0.1002356385629565
"([5, [4, 3, 3], [3, 4]],)",0.47899008981703217,0.15367170123276483,0.6838495749530342,0.18701363177750804,0.10301915576986094,0.48984196371007377,0.16938081098851773,0.6207665738459885,0.16981445881800722,0.11094026151281555,0.4967248338452672,0.1703057851022818,0.6007471067787034,0.15467921096690596,0.11532613846275373,0.4726499616397103,0.1579635179406319,0.7333010923496339,0.202737762435013,0.09822731584067157
"([5, [4, 3, 2], [3, 4]],)",0.4783361704225536,0.1538628607166955,0.6787018711634302,0.18632551374505602,0.1012299491344759,0.4897444748734051,0.1686509948937473,0.6109406348280552,0.16968846082162584,0.10986109450354271,0.49653806838894005,0.16932862908794305,0.5905975923491231,0.1542536061148413,0.11391418949174903,0.47210108411309426,0.15881536843083077,0.7281115490995556,0.2023330147147357,0.09675400862684583
"([7, [5, 4, 3], [4, 5]],)",0.47271633365483845,0.16855525340530894,0.7442935545368835,0.2148135103754387,0.10093819838890399,0.48391916265583107,0.1840603379371637,0.6600752237645722,0.18989752027662904,0.10836466167180943,0.49151937190193123,0.17515756764975807,0.6334008286595689,0.17109153304761193,0.11051915642531578,0.4658345543716096,0.177312895484057,0.7929380753583887,0.23400074077299157,0.09550886211883725
"([7, [5, 4, 2], [4, 5]],)",0.4718685913769249,0.16717817179344993,0.7481926728902942,0.21569771819492703,0.10264555681797215,0.48270246039621495,0.1849488897470291,0.6631507116529283,0.19090100083674366,0.11010730220517623,0.49025967585633634,0.17470553096205785,0.6415005484998232,0.17182516135093462,0.11204010668970649,0.4650443803307747,0.17615528936467642,0.7907088231822427,0.2351442408084327,0.09738748952459218
"([7, [4, 3], [4]],)",0.4653555480397259,0.15524122077897667,0.7751114381352675,0.21107448525785846,0.09949642349360434,0.47522789418519834,0.1716849216380996,0.7042049843575661,0.18496893857211122,0.10769845732818804,0.4820501325200812,0.16596860881043785,0.67754535188856,0.16509672798399702,0.10894180360718994,0.45905413733554606,0.16993865906367292,0.8156203223017501,0.23132897185686183,0.09432249920140445
"([10, [7, 4], [4, 7]],)",0.4496812767326712,0.1901847779738935,0.8264395810167688,0.2502486539176047,0.10274310582468435,0.4611725892974607,0.1788220519007925,0.7713777579526522,0.2137391934925929,0.10866399550859782,0.4685304096747929,0.17745796951263887,0.7204065772962394,0.1894981510162191,0.10717261194457764,0.4430033055744474,0.19279258671808436,0.8808858951740786,0.274783450406923,0.09724782253837218
"([10, [5, 4, 3], [4, 5]],)",0.46053642457918,0.18636528154254134,0.8198797480916391,0.25238451526695393,0.10585651868143266,0.4732336588835942,0.17807725023783302,0.7579871600486678,0.21788638258603454,0.11126003693056767,0.4813745255607984,0.17570093408634496,0.707537939536314,0.19334161343564413,0.11013934943058391,0.4532059065831738,0.19196028041948945,0.8692946713958053,0.2768942999110098,0.1002666880806262
"([10, [5, 4, 3, 2], [3, 4, 5]],)",0.46464805194154396,0.19159936783012715,0.7878360950560641,0.2533082891343668,0.10574660903899537,0.4767241182824153,0.18383468306434148,0.7249588766766246,0.21878767238909164,0.11078189911746542,0.48462278941910925,0.1812391644860163,0.6622064564943704,0.19562284968401156,0.11055042380404191,0.4575361609104703,0.1940146627013126,0.853343990800312,0.27692581736194505,0.09963597263262286
